time,Philadelphia,pts.away,score,pts.home,Memphis
4:45.0,,,95-94,,M. Henry misses free throw 1 of 2
4:45.0,,,95-94,,Offensive rebound by Team
4:45.0,,,95-95,1,M. Henry makes free throw 2 of 2
4:35.0,,,95-95,,Violation by M. Gasol (kicked ball)
4:28.0,Turnover by D. Saric (bad pass),,95-95,,
4:16.0,,,95-98,3,M. Gasol makes 3-pt shot from 25 ft (assist by T. Evans)
3:59.0,Turnover by T. McConnell (step out of bounds),,95-98,,
3:42.0,,,95-100,2,T. Evans makes 2-pt shot from 17 ft
3:30.0,B. Simmons misses 2-pt shot from 5 ft,,95-100,,
3:30.0,,,95-100,,Defensive rebound by Team
3:10.0,,,95-100,,T. Evans misses 2-pt shot from 1 ft (block by D. Saric)
3:10.0,,,95-100,,Offensive rebound by Team
3:10.0,,,95-100,,Memphis full timeout
3:10.0,T. Luwawu-Cabarrot enters the game for T. McConnell,,95-100,,
3:06.0,,,95-100,,T. Evans misses 3-pt shot from 26 ft
3:02.0,,,95-100,,Offensive rebound by J. Martin
2:44.0,,,95-100,,T. Evans misses 2-pt shot from 1 ft (block by T. Luwawu-Cabarrot)
2:42.0,Defensive rebound by R. Covington,,95-100,,
2:40.0,Turnover by T. Luwawu-Cabarrot (out of bounds lost ball),,95-100,,
2:18.0,,,95-100,,D. Brooks misses 2-pt shot from 21 ft
2:15.0,Defensive rebound by B. Simmons,,95-100,,
2:06.0,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft,,95-100,,
2:03.0,Offensive rebound by J. Embiid,,95-100,,
2:01.0,R. Covington makes 3-pt shot from 26 ft (assist by J. Embiid),3,98-100,,
1:40.0,,,98-100,,Turnover by M. Gasol (bad pass)
1:23.0,,,98-100,,Personal foul by M. Gasol (drawn by J. Embiid)
1:23.0,J. Embiid misses free throw 1 of 2,,98-100,,
1:23.0,Offensive rebound by Team,,98-100,,
1:23.0,,,98-100,,M. Chalmers enters the game for M. Henry
1:23.0,J. Embiid misses free throw 2 of 2,,98-100,,
1:20.0,,,98-100,,Defensive rebound by D. Brooks
1:05.0,,,98-100,,T. Evans misses 2-pt shot from 1 ft
1:02.0,Defensive rebound by J. Embiid,,98-100,,
0:57.0,Turnover by R. Covington (bad pass; steal by M. Gasol),,98-100,,
0:54.0,,,98-100,,Shooting foul by B. Simmons (drawn by J. Martin)
0:54.0,,,98-101,1,J. Martin makes free throw 1 of 2
0:54.0,,,98-101,,M. Henry enters the game for M. Chalmers
0:54.0,,,98-102,1,J. Martin makes free throw 2 of 2
0:54.0,Philadelphia full timeout,,98-102,,
0:45.0,R. Covington misses 3-pt shot from 25 ft,,98-102,,
0:42.0,Offensive rebound by R. Covington,,98-102,,
0:37.0,J. Embiid misses 2-pt shot from 12 ft,,98-102,,
0:35.0,,,98-102,,Defensive rebound by T. Evans
0:35.0,Personal take foul by B. Simmons (drawn by T. Evans),,98-102,,
0:35.0,,,98-102,,T. Evans misses free throw 1 of 2
0:35.0,,,98-102,,Offensive rebound by Team
0:35.0,,,98-103,1,T. Evans makes free throw 2 of 2
0:35.0,Philadelphia full timeout,,98-103,,
0:33.0,J. Embiid misses 3-pt shot from 25 ft,,98-103,,
0:31.0,Offensive rebound by D. Saric,,98-103,,
0:31.0,D. Saric makes 2-pt shot from 1 ft,2,100-103,,
0:30.0,,,100-103,,Memphis full timeout
0:30.0,,,100-103,,Memphis full timeout
0:28.0,,,100-103,,Offensive charge foul by J. Martin (drawn by B. Simmons)
0:28.0,,,100-103,,Turnover by J. Martin (offensive foul)
0:15.0,Shooting foul by J. Martin (drawn by J. Embiid),,100-103,,
0:15.0,J. Embiid misses free throw 1 of 2,,100-103,,
0:15.0,Offensive rebound by Team,,100-103,,
0:15.0,,,100-103,,M. Chalmers enters the game for M. Henry
0:15.0,T. McConnell enters the game for D. Saric,,100-103,,
0:15.0,J. Embiid makes free throw 2 of 2,1,101-103,,
0:10.0,,,101-103,,Turnover by T. Evans (lost ball; steal by B. Simmons)
0:06.0,R. Covington misses 3-pt shot from 23 ft,,101-103,,
0:06.0,,,101-103,,Defensive rebound by M. Chalmers
0:06.0,Personal take foul by B. Simmons (drawn by M. Chalmers),,101-103,,
0:06.0,,,101-104,1,M. Chalmers makes free throw 1 of 2
0:06.0,D. Saric enters the game for T. McConnell,,101-104,,
0:06.0,,,101-105,1,M. Chalmers makes free throw 2 of 2
0:01.0,R. Covington misses 3-pt shot from 27 ft,,101-105,,
0:01.0,Offensive rebound by D. Saric,,101-105,,
