time,Oklahoma City,pts.away,score,pts.home,New York
2:06.0,,,95-103,,Defensive rebound by M. Beasley
1:46.0,,,95-105,2,C. Lee makes 2-pt shot from 1 ft
1:36.0,Shooting foul by K. O'Quinn (drawn by J. Grant),,95-105,,
1:36.0,J. Grant misses free throw 1 of 2,,95-105,,
1:36.0,Offensive rebound by Team,,95-105,,
1:36.0,J. Grant makes free throw 2 of 2,1,96-105,,
1:18.0,,,96-107,2,M. Beasley makes 2-pt shot from 2 ft
1:13.0,P. George misses 3-pt shot from 29 ft,,96-107,,
1:10.0,,,96-107,,Defensive rebound by K. O'Quinn
1:01.0,,,96-107,,New York full timeout
0:54.0,,,96-107,,D. McDermott misses 2-pt shot from 2 ft (block by J. Grant)
0:50.0,,,96-107,,Offensive rebound by J. Jack
0:49.0,,,96-109,2,C. Lee makes 2-pt shot from 12 ft (assist by J. Jack)
0:43.0,Turnover by P. Patterson (bad pass; steal by J. Jack),,96-109,,
0:32.0,,,96-111,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by J. Jack)
0:24.0,Turnover by P. Patterson (bad pass; steal by C. Lee),,96-111,,
0:01.0,,,96-111,,Turnover by Team (shot clock)
0:01.0,A. Abrines enters the game for R. Westbrook,,96-111,,
0:01.0,T. Ferguson enters the game for C. Anthony,,96-111,,
