time,Detroit,pts.away,score,pts.home,Denver
3:50.0,,,99-109,,Turnover by Team (turnover)
3:33.0,J. Ennis misses 2-pt shot from 9 ft,,99-109,,
3:30.0,,,99-109,,Defensive rebound by P. Millsap
3:17.0,,,99-109,,N. Jokic misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by B. Griffin,,99-109,,
2:56.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Bullock),2,101-109,,
2:41.0,,,101-109,,Turnover by J. Murray (lost ball; steal by D. Buycks)
2:37.0,R. Bullock makes 2-pt shot from 2 ft (assist by J. Ennis),2,103-109,,
2:37.0,,,103-109,,Denver full timeout
2:37.0,,,103-109,,W. Chandler enters the game for M. Beasley
2:21.0,,,103-111,2,W. Barton makes 2-pt shot from 1 ft
1:54.0,D. Buycks misses 2-pt shot from 3 ft (block by W. Barton),,103-111,,
1:53.0,Offensive rebound by Team,,103-111,,
1:51.0,A. Drummond makes 2-pt shot from 1 ft (assist by D. Buycks),2,105-111,,
1:30.0,,,105-113,2,J. Murray makes 2-pt shot from 2 ft
1:20.0,D. Buycks makes 2-pt shot from 20 ft (assist by R. Bullock),2,107-113,,
1:01.0,,,107-115,2,W. Barton makes 2-pt shot from 1 ft
1:01.0,Detroit full timeout,,107-115,,
1:01.0,L. Kennard enters the game for J. Ennis,,107-115,,
0:56.0,L. Kennard misses 3-pt shot from 24 ft,,107-115,,
0:55.0,,,107-115,,Defensive rebound by N. Jokic
0:42.0,Personal take foul by D. Buycks (drawn by P. Millsap),,107-115,,
0:34.0,Personal take foul by A. Drummond (drawn by J. Murray),,107-115,,
0:34.0,,,107-115,,J. Murray misses free throw 1 of 2
0:34.0,,,107-115,,Offensive rebound by Team
0:34.0,,,107-116,1,J. Murray makes free throw 2 of 2
0:27.0,D. Buycks makes 2-pt shot from 2 ft,2,109-116,,
0:24.0,Personal take foul by D. Buycks (drawn by W. Barton),,109-116,,
0:24.0,,,109-117,1,W. Barton makes free throw 1 of 2
0:24.0,,,109-117,,M. Beasley enters the game for N. Jokic
0:24.0,,,109-118,1,W. Barton makes free throw 2 of 2
0:18.0,B. Griffin makes 3-pt shot from 22 ft (assist by R. Bullock),3,112-118,,
0:17.0,Personal take foul by B. Griffin (drawn by J. Murray),,112-118,,
0:17.0,,,112-119,1,J. Murray makes free throw 1 of 2
0:17.0,,,112-120,1,J. Murray makes free throw 2 of 2
0:08.0,Shooting foul by W. Barton (drawn by A. Drummond),,112-120,,
0:08.0,A. Drummond makes free throw 1 of 2,1,113-120,,
0:08.0,,,113-120,,T. Lyles enters the game for M. Beasley
0:08.0,A. Drummond misses free throw 2 of 2,,113-120,,
0:08.0,,,113-120,,Defensive rebound by Team
