time,LA Clippers,pts.away,score,pts.home,Cleveland
2:12.0,B. Griffin misses 2-pt shot from 10 ft,,103-99,,
2:09.0,,,103-99,,Defensive rebound by K. Korver
2:01.0,,,103-102,3,L. James makes 3-pt shot from 26 ft
1:43.0,B. Griffin misses 3-pt shot from 23 ft,,103-102,,
1:40.0,,,103-102,,Defensive rebound by L. James
1:31.0,,,103-102,,Turnover by L. James (lost ball; steal by B. Griffin)
1:12.0,L. Williams makes 2-pt shot from 9 ft,2,105-102,,
0:51.0,,,105-102,,L. James misses 3-pt shot from 31 ft
0:48.0,,,105-102,,Offensive rebound by K. Love
0:47.0,,,105-105,3,L. James makes 3-pt shot from 24 ft (assist by K. Love)
0:47.0,LA Clippers full timeout,,105-105,,
0:36.0,B. Griffin misses 2-pt shot from 13 ft,,105-105,,
0:36.0,,,105-105,,Defensive rebound by Team
0:35.0,W. Johnson enters the game for L. Williams,,105-105,,
0:28.0,,,105-105,,D. Wade misses 2-pt shot from 1 ft
0:26.0,Defensive rebound by B. Griffin,,105-105,,
0:21.0,LA Clippers full timeout,,105-105,,
0:21.0,L. Williams enters the game for W. Johnson,,105-105,,
0:03.0,B. Griffin misses 2-pt shot from 19 ft,,105-105,,
0:03.0,,,105-105,,Defensive rebound by J. Smith
0:03.0,,,105-105,,Cleveland full timeout
0:03.0,W. Johnson enters the game for L. Williams,,105-105,,
0:00.0,,,105-105,,L. James misses 2-pt shot from 8 ft
0:00.0,,,105-105,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: K. Love vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: K. Love vs. D. Jordan (B. Griffin gains possession)
4:45.0,A. Rivers misses 2-pt shot from 6 ft (block by D. Wade),,105-105,,
4:42.0,,,105-105,,Defensive rebound by L. James
4:41.0,,,105-105,,Shooting foul by S. Thornwell (drawn by L. James)
4:41.0,,,105-106,1,L. James makes free throw 1 of 1
4:41.0,,,105-106,,L. James misses free throw 2 of 2
4:38.0,Defensive rebound by D. Jordan,,105-106,,
4:18.0,B. Griffin misses 2-pt shot from 13 ft,,105-106,,
4:16.0,,,105-106,,Defensive rebound by L. James
3:58.0,,,105-106,,D. Wade misses 2-pt shot from 13 ft
3:56.0,Defensive rebound by D. Jordan,,105-106,,
3:38.0,Turnover by A. Rivers (lost ball; steal by K. Love),,105-106,,
3:31.0,,,105-108,2,J. Smith makes 2-pt shot from 2 ft
3:31.0,LA Clippers full timeout,,105-108,,
3:22.0,,,105-108,,Personal foul by J. Smith (drawn by B. Griffin)
3:10.0,L. Williams misses 2-pt shot from 4 ft,,105-108,,
3:07.0,,,105-108,,Defensive rebound by K. Love
2:58.0,,,105-111,3,K. Love makes 3-pt shot from 26 ft (assist by L. James)
2:49.0,,,105-111,,Personal foul by K. Korver (drawn by L. Williams)
2:49.0,W. Johnson enters the game for S. Thornwell,,105-111,,
2:40.0,B. Griffin misses 3-pt shot from 22 ft,,105-111,,
2:34.0,,,105-111,,Defensive rebound by K. Love
2:18.0,,,105-111,,L. James misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by B. Griffin,,105-111,,
2:10.0,L. Williams misses 3-pt shot from 29 ft,,105-111,,
2:09.0,Offensive rebound by D. Jordan,,105-111,,
2:08.0,D. Jordan makes 2-pt shot from 2 ft,2,107-111,,
1:47.0,,,107-114,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
1:47.0,LA Clippers full timeout,,107-114,,
1:43.0,B. Griffin misses 3-pt shot from 27 ft,,107-114,,
1:38.0,Offensive rebound by B. Griffin,,107-114,,
1:37.0,A. Rivers misses 3-pt shot from 24 ft,,107-114,,
1:35.0,,,107-114,,Defensive rebound by L. James
1:28.0,,,107-114,,J. Smith misses 3-pt shot from 24 ft
1:25.0,Defensive rebound by W. Johnson,,107-114,,
1:21.0,B. Griffin makes 2-pt shot from 1 ft,2,109-114,,
1:01.0,,,109-114,,K. Love misses 2-pt shot from 3 ft (block by W. Johnson)
1:00.0,Defensive rebound by Team,,109-114,,
0:54.0,L. Williams makes 2-pt shot from 4 ft,2,111-114,,
0:54.0,,,111-114,,Cleveland full timeout
0:31.0,,,111-116,2,L. James makes 2-pt shot from 15 ft
0:25.0,,,111-116,,Personal foul by J. Smith (drawn by L. Williams)
0:20.0,L. Williams misses 3-pt shot from 26 ft,,111-116,,
0:17.0,,,111-116,,Defensive rebound by J. Smith
0:09.0,Personal foul by B. Griffin (drawn by K. Korver),,111-116,,
0:09.0,Personal foul by A. Rivers (drawn by K. Korver),,111-116,,
0:09.0,,,111-117,1,K. Korver makes free throw 1 of 2
0:09.0,,,111-117,,C. Osman enters the game for L. James
0:09.0,,,111-118,1,K. Korver makes free throw 2 of 2
0:01.0,D. Jordan makes 2-pt shot from 5 ft (assist by L. Williams),2,113-118,,
