time,Utah,pts.away,score,pts.home,Indiana
2:33.0,,,101-81,,A. Poythress misses 3-pt shot from 27 ft
2:29.0,Defensive rebound by R. Gobert,,101-81,,
2:10.0,J. Crowder misses 3-pt shot from 26 ft,,101-81,,
2:07.0,,,101-81,,Defensive rebound by T. Leaf
1:51.0,,,101-81,,T. Leaf misses 3-pt shot from 27 ft
1:47.0,Defensive rebound by D. Mitchell,,101-81,,
1:28.0,R. Rubio misses 3-pt shot from 26 ft,,101-81,,
1:25.0,,,101-81,,Defensive rebound by J. Young
1:24.0,Personal take foul by D. Mitchell (drawn by J. Young),,101-81,,
1:24.0,R. Neto enters the game for J. Ingles,,101-81,,
1:24.0,J. Jerebko enters the game for R. Rubio,,101-81,,
1:24.0,R. O'Neale enters the game for R. Gobert,,101-81,,
1:24.0,E. Udoh enters the game for D. Mitchell,,101-81,,
1:24.0,T. Bradley enters the game for J. Crowder,,101-81,,
1:15.0,,,101-81,,T. Booker misses 2-pt shot from 5 ft (block by E. Udoh)
1:13.0,Defensive rebound by R. O'Neale,,101-81,,
1:10.0,R. O'Neale misses 2-pt shot from 1 ft,,101-81,,
1:10.0,,,101-81,,Defensive rebound by T. Leaf
0:59.0,,,101-84,3,A. Poythress makes 3-pt shot from 23 ft (assist by J. Young)
0:45.0,J. Jerebko misses 3-pt shot from 26 ft,,101-84,,
0:41.0,,,101-84,,Defensive rebound by A. Poythress
0:35.0,,,101-84,,Turnover by J. Young (bad pass)
0:20.0,J. Jerebko makes 3-pt shot from 23 ft (assist by R. Neto),3,104-84,,
0:08.0,,,104-84,,Turnover by J. Young (lost ball; steal by R. Neto)
