time,New York,pts.away,score,pts.home,Washington
4:06.0,J. Jack makes 2-pt shot from 1 ft,2,100-110,,
3:43.0,,,100-113,3,M. Morris makes 3-pt shot from 27 ft (assist by O. Porter)
3:26.0,M. Beasley makes 3-pt shot from 26 ft (assist by J. Jack),3,103-113,,
3:07.0,,,103-115,2,J. Wall makes 2-pt shot from 1 ft
2:39.0,M. Beasley misses 2-pt shot at rim,,103-115,,
2:37.0,,,103-115,,Defensive rebound by M. Morris
2:18.0,Personal foul by D. McDermott (drawn by B. Beal),,103-115,,
2:18.0,New York full timeout,,103-115,,
2:18.0,,,103-116,1,B. Beal makes free throw 1 of 2
2:18.0,,,103-116,,B. Beal misses free throw 2 of 2
2:16.0,Defensive rebound by M. Beasley,,103-116,,
2:06.0,D. McDermott misses 2-pt shot from 20 ft,,103-116,,
2:03.0,,,103-116,,Defensive rebound by J. Wall
1:50.0,,,103-118,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
1:38.0,Turnover by J. Jack (bad pass),,103-118,,
1:38.0,,,103-118,,I. Mahinmi enters the game for M. Gortat
1:38.0,,,103-118,,J. Meeks enters the game for B. Beal
1:38.0,,,103-118,,M. Scott enters the game for O. Porter
1:38.0,,,103-118,,T. Satoransky enters the game for M. Morris
1:38.0,,,103-118,,K. Oubre enters the game for J. Wall
1:38.0,W. Hernangomez enters the game for C. Lee,,103-118,,
1:38.0,K. O'Quinn enters the game for K. Porzingis,,103-118,,
1:38.0,D. Dotson enters the game for M. Beasley,,103-118,,
1:38.0,F. Ntilikina enters the game for J. Jack,,103-118,,
1:22.0,,,103-121,3,T. Satoransky makes 3-pt shot from 26 ft (assist by J. Meeks)
0:58.0,F. Ntilikina misses 3-pt shot from 25 ft,,103-121,,
0:55.0,,,103-121,,Defensive rebound by I. Mahinmi
0:32.0,,,103-121,,M. Scott misses 2-pt shot from 15 ft
0:30.0,Defensive rebound by F. Ntilikina,,103-121,,
0:25.0,D. Dotson misses 3-pt shot from 26 ft,,103-121,,
0:22.0,,,103-121,,Defensive rebound by I. Mahinmi
