time,Detroit,pts.away,score,pts.home,Minnesota
1:45.0,,,92-93,1,A. Wiggins makes free throw 2 of 2
1:26.0,R. Jackson makes 2-pt shot from 6 ft,2,94-93,,
1:02.0,,,94-93,,J. Teague misses 3-pt shot from 26 ft
0:58.0,Defensive rebound by R. Jackson,,94-93,,
0:55.0,R. Jackson makes 2-pt shot from 1 ft,2,96-93,,
0:55.0,,,96-93,,Minnesota full timeout
0:55.0,,,96-93,,N. Bjelica enters the game for T. Gibson
0:41.0,,,96-95,2,N. Bjelica makes 2-pt shot from 2 ft (assist by K. Towns)
0:20.0,R. Jackson makes 2-pt shot from 18 ft,2,98-95,,
0:06.0,,,98-95,,Shooting foul by A. Bradley (drawn by J. Butler)
0:06.0,,,98-96,1,J. Butler makes free throw 1 of 3
0:06.0,,,98-97,1,J. Butler makes free throw 2 of 3
0:06.0,,,98-97,,T. Gibson enters the game for N. Bjelica
0:06.0,,,98-97,,J. Butler misses free throw 3 of 3
0:06.0,Defensive rebound by T. Harris,,98-97,,
0:03.0,,,98-97,,Personal take foul by T. Gibson (drawn by T. Harris)
0:03.0,,,98-97,,N. Bjelica enters the game for T. Gibson
0:03.0,T. Harris makes free throw 1 of 2,1,99-97,,
0:03.0,T. Harris makes free throw 2 of 2,1,100-97,,
0:00.0,,,100-97,,J. Butler misses 3-pt shot from 28 ft
0:00.0,,,100-97,,Offensive rebound by Team
