time,Utah,pts.away,score,pts.home,Brooklyn
4:28.0,,,94-110,3,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Carroll)
4:12.0,Shooting foul by T. Booker (drawn by D. Mitchell),,94-110,,
4:12.0,D. Mitchell makes free throw 1 of 2,1,95-110,,
4:12.0,,,95-110,,S. Dinwiddie enters the game for C. LeVert
4:12.0,R. O'Neale enters the game for J. Ingles,,95-110,,
4:12.0,E. Udoh enters the game for D. Favors,,95-110,,
4:12.0,D. Mitchell makes free throw 2 of 2,1,96-110,,
3:52.0,,,96-110,,Brooklyn full timeout
3:47.0,,,96-110,,S. Dinwiddie misses 2-pt shot from 23 ft
3:47.0,,,96-110,,Offensive rebound by Team
3:47.0,,,96-110,,Turnover by Team (shot clock)
3:32.0,Offensive foul by E. Udoh (drawn by D. Carroll),,96-110,,
3:32.0,Turnover by E. Udoh (offensive foul),,96-110,,
3:09.0,,,96-112,2,A. Crabbe makes 2-pt shot from 9 ft
3:07.0,Utah full timeout,,96-112,,
3:07.0,,,96-112,,T. Zeller enters the game for D. Carroll
3:07.0,,,96-112,,I. Whitehead enters the game for T. Booker
3:07.0,A. Burks enters the game for R. Hood,,96-112,,
3:07.0,N. Wolters enters the game for D. Mitchell,,96-112,,
3:07.0,T. Bradley enters the game for E. Udoh,,96-112,,
2:55.0,R. Neto makes 2-pt shot from 18 ft,2,98-112,,
2:31.0,,,98-114,2,A. Crabbe makes 2-pt shot from 13 ft
2:13.0,R. Neto makes 2-pt shot at rim,2,100-114,,
1:49.0,,,100-117,3,S. Dinwiddie makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
1:39.0,R. Neto misses 3-pt shot from 24 ft,,100-117,,
1:39.0,Offensive rebound by T. Bradley,,100-117,,
1:37.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Bradley),,100-117,,
1:37.0,T. Bradley makes free throw 1 of 2,1,101-117,,
1:37.0,,,101-117,,J. Harris enters the game for S. Dinwiddie
1:37.0,,,101-117,,S. Kilpatrick enters the game for A. Crabbe
1:37.0,T. Bradley makes free throw 2 of 2,1,102-117,,
1:32.0,,,102-117,,Shooting foul by N. Wolters (drawn by I. Whitehead)
1:32.0,,,102-118,1,I. Whitehead makes free throw 1 of 2
1:32.0,,,102-118,,I. Whitehead misses free throw 2 of 2
1:30.0,Defensive rebound by T. Bradley,,102-118,,
1:11.0,R. O'Neale makes 2-pt shot from 1 ft,2,104-118,,
0:56.0,,,104-118,,I. Whitehead misses 2-pt shot from 3 ft
0:53.0,Defensive rebound by R. O'Neale,,104-118,,
0:51.0,,,104-118,,Personal foul by I. Whitehead (drawn by R. Neto)
0:51.0,R. Neto misses free throw 1 of 2,,104-118,,
0:51.0,Offensive rebound by Team,,104-118,,
0:51.0,R. Neto makes free throw 2 of 2,1,105-118,,
0:32.0,,,105-118,,Turnover by I. Whitehead (lost ball; steal by R. O'Neale)
0:16.0,A. Burks makes 2-pt shot from 1 ft,2,107-118,,
