time,Phoenix,pts.away,score,pts.home,Washington
5:07.0,A. Len misses 2-pt shot from 2 ft (block by M. Gortat),,101-102,,
5:07.0,Offensive rebound by A. Len,,101-102,,
5:04.0,A. Len makes 2-pt shot from 2 ft,2,103-102,,
4:45.0,,,103-105,3,K. Oubre makes 3-pt shot from 23 ft (assist by B. Beal)
4:27.0,M. Chriss makes 3-pt shot from 26 ft (assist by D. Booker),3,106-105,,
4:11.0,,,106-108,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
3:44.0,T. Warren makes 2-pt shot from 1 ft (assist by M. Chriss),2,108-108,,
3:44.0,Shooting foul by B. Beal (drawn by T. Warren),,108-108,,
3:44.0,T. Warren makes free throw 1 of 1,1,109-108,,
3:29.0,,,109-108,,B. Beal misses 2-pt shot from 12 ft
3:26.0,Defensive rebound by A. Len,,109-108,,
3:17.0,Shooting foul by J. Wall (drawn by M. James),,109-108,,
3:17.0,M. James makes free throw 1 of 2,1,110-108,,
3:17.0,M. James makes free throw 2 of 2,1,111-108,,
3:05.0,,,111-108,,J. Wall misses 2-pt shot from 2 ft
3:02.0,,,111-108,,Offensive rebound by M. Gortat
3:02.0,,,111-108,,K. Oubre misses 3-pt shot from 23 ft
3:02.0,,,111-108,,Offensive rebound by K. Oubre
2:58.0,,,111-108,,Shooting foul by A. Len (drawn by M. Gortat)
2:58.0,T. Chandler enters the game for A. Len,,111-108,,
2:58.0,,,111-109,1,M. Gortat makes free throw 1 of 2
2:58.0,,,111-110,1,M. Gortat makes free throw 2 of 2
2:39.0,T. Warren makes 3-pt shot from 23 ft (assist by D. Booker),3,114-110,,
2:16.0,,,114-110,,M. Gortat misses 2-pt shot from 8 ft
2:13.0,Defensive rebound by T. Warren,,114-110,,
1:56.0,Turnover by M. James (lost ball; steal by J. Wall),,114-110,,
1:53.0,,,114-110,,Shooting foul by D. Booker (drawn by J. Wall)
1:53.0,,,114-110,,J. Wall misses free throw 1 of 2
1:53.0,,,114-110,,Offensive rebound by Team
1:53.0,,,114-110,,J. Wall misses free throw 2 of 2
1:50.0,Defensive rebound by M. Chriss,,114-110,,
1:34.0,D. Booker misses 3-pt shot from 26 ft,,114-110,,
1:29.0,Offensive rebound by T. Warren,,114-110,,
1:29.0,T. Warren makes 2-pt shot from 9 ft,2,116-110,,
1:29.0,,,116-110,,Washington full timeout
1:24.0,,,116-110,,J. Wall misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by Team,,116-110,,
1:01.0,M. James misses 2-pt shot from 16 ft,,116-110,,
1:00.0,Offensive rebound by M. Chriss,,116-110,,
1:00.0,M. Chriss makes 2-pt shot at rim,2,118-110,,
0:50.0,,,118-110,,B. Beal misses 2-pt shot from 9 ft
0:48.0,,,118-110,,Offensive rebound by B. Beal
0:47.0,,,118-113,3,K. Oubre makes 3-pt shot from 25 ft (assist by B. Beal)
0:35.0,T. Chandler makes 2-pt shot from 1 ft (assist by M. James),2,120-113,,
0:31.0,,,120-116,3,B. Beal makes 3-pt shot from 25 ft
0:25.0,,,120-116,,Personal take foul by K. Oubre (drawn by M. James)
0:25.0,M. James makes free throw 1 of 2,1,121-116,,
0:25.0,M. James misses free throw 2 of 2,,121-116,,
0:23.0,,,121-116,,Defensive rebound by M. Gortat
0:17.0,,,121-116,,B. Beal misses 3-pt shot from 25 ft
0:13.0,Defensive rebound by M. Chriss,,121-116,,
0:12.0,,,121-116,,Personal foul by J. Wall (drawn by T. Warren)
0:12.0,T. Warren misses free throw 1 of 2,,121-116,,
0:12.0,Offensive rebound by Team,,121-116,,
0:12.0,T. Warren makes free throw 2 of 2,1,122-116,,
0:08.0,,,122-116,,K. Oubre misses 3-pt shot from 25 ft
0:05.0,,,122-116,,Offensive rebound by B. Beal
0:01.0,,,122-116,,B. Beal misses 3-pt shot from 23 ft (block by T. Warren)
0:01.0,Defensive rebound by M. Chriss,,122-116,,
