time,Milwaukee,pts.away,score,pts.home,Denver
7:23.0,,,102-84,,N. Jokic misses 2-pt shot from 1 ft
7:23.0,,,102-84,,Offensive rebound by Team
7:09.0,,,102-84,,Shooting foul by G. Antetokounmpo (drawn by J. Murray)
7:09.0,,,102-85,1,J. Murray makes free throw 1 of 2
7:09.0,,,102-85,,T. Craig enters the game for T. Lyles
7:09.0,K. Middleton enters the game for S. Brown,,102-85,,
7:09.0,E. Bledsoe enters the game for G. Antetokounmpo,,102-85,,
7:09.0,,,102-86,1,J. Murray makes free throw 2 of 2
6:56.0,J. Parker misses 2-pt shot from 3 ft,,102-86,,
6:54.0,,,102-86,,Defensive rebound by P. Millsap
6:50.0,,,102-88,2,P. Millsap makes 2-pt shot from 3 ft
6:33.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by T. Snell),3,105-88,,
6:16.0,,,105-88,,J. Murray misses 2-pt shot from 12 ft
6:12.0,Defensive rebound by K. Middleton,,105-88,,
5:54.0,J. Henson misses 2-pt shot from 2 ft,,105-88,,
5:50.0,,,105-88,,Defensive rebound by N. Jokic
5:45.0,,,105-91,3,J. Murray makes 3-pt shot from 24 ft (assist by P. Millsap)
5:44.0,Milwaukee full timeout,,105-91,,
5:29.0,J. Parker makes 2-pt shot from 3 ft (assist by K. Middleton),2,107-91,,
5:09.0,,,107-93,2,N. Jokic makes 2-pt shot from 4 ft (assist by J. Murray)
4:54.0,K. Middleton misses 2-pt shot from 10 ft,,107-93,,
4:53.0,,,107-93,,Defensive rebound by P. Millsap
4:46.0,,,107-95,2,P. Millsap makes 2-pt shot from 1 ft
4:21.0,E. Bledsoe misses 2-pt shot from 4 ft,,107-95,,
4:19.0,,,107-95,,Defensive rebound by N. Jokic
4:07.0,,,107-95,,J. Murray misses 3-pt shot from 24 ft
4:04.0,,,107-95,,Offensive rebound by T. Craig
4:04.0,,,107-97,2,T. Craig makes 2-pt shot from 1 ft
3:53.0,Milwaukee full timeout,,107-97,,
3:53.0,G. Antetokounmpo enters the game for J. Parker,,107-97,,
3:43.0,Offensive charge foul by G. Antetokounmpo,,107-97,,
3:43.0,Turnover by G. Antetokounmpo (offensive foul),,107-97,,
3:43.0,Technical foul by G. Antetokounmpo,,107-97,,
3:43.0,,,107-98,1,J. Murray makes technical free throw
3:43.0,J. Parker enters the game for G. Antetokounmpo,,107-98,,
3:26.0,Personal foul by E. Bledsoe (drawn by J. Murray),,107-98,,
3:26.0,,,107-99,1,J. Murray makes free throw 1 of 2
3:26.0,,,107-100,1,J. Murray makes free throw 2 of 2
3:13.0,K. Middleton makes 2-pt shot from 11 ft (assist by J. Henson),2,109-100,,
2:57.0,,,109-100,,J. Murray misses 3-pt shot from 24 ft
2:56.0,,,109-100,,Offensive rebound by N. Jokic
2:56.0,,,109-102,2,N. Jokic makes 2-pt shot from 1 ft
2:56.0,,,109-102,,Shooting foul by T. Snell (drawn by N. Jokic)
2:56.0,,,109-103,1,N. Jokic makes free throw 1 of 1
2:35.0,K. Middleton misses 3-pt shot from 25 ft,,109-103,,
2:29.0,,,109-103,,Defensive rebound by N. Jokic
2:24.0,,,109-103,,W. Barton misses 2-pt shot from 2 ft (block by J. Henson)
2:19.0,Defensive rebound by J. Parker,,109-103,,
2:08.0,E. Bledsoe makes 2-pt shot from 11 ft,2,111-103,,
1:48.0,,,111-103,,Turnover by J. Murray (traveling)
1:33.0,E. Bledsoe misses 2-pt shot from 15 ft,,111-103,,
1:31.0,,,111-103,,Defensive rebound by N. Jokic
1:26.0,,,111-103,,T. Craig misses 2-pt shot from 2 ft
1:26.0,Defensive rebound by K. Middleton,,111-103,,
1:07.0,J. Parker misses 2-pt shot from 11 ft,,111-103,,
1:06.0,,,111-103,,Defensive rebound by P. Millsap
1:06.0,,,111-103,,Denver full timeout
1:06.0,,,111-103,,J. Hernangomez enters the game for T. Craig
0:58.0,,,111-105,2,J. Murray makes 2-pt shot from 2 ft
0:58.0,,,111-105,,Shooting foul by E. Bledsoe (drawn by J. Murray)
0:58.0,,,111-105,,T. Craig enters the game for J. Hernangomez
0:58.0,,,111-106,1,J. Murray makes free throw 1 of 1
0:43.0,K. Middleton misses 3-pt shot from 25 ft,,111-106,,
0:40.0,,,111-106,,Defensive rebound by W. Barton
0:35.0,,,111-106,,J. Murray misses 2-pt shot from 2 ft (block by E. Bledsoe)
0:33.0,,,111-106,,Offensive rebound by P. Millsap
0:30.0,,,111-108,2,N. Jokic makes 2-pt shot from 5 ft (assist by P. Millsap)
0:07.0,J. Parker misses 2-pt shot from 9 ft,,111-108,,
0:06.0,,,111-108,,Defensive rebound by W. Barton
0:06.0,,,111-108,,J. Hernangomez enters the game for T. Craig
0:05.0,,,111-108,,Denver full timeout
0:04.0,,,111-108,,Turnover by P. Millsap (out of bounds lost ball)
0:04.0,Milwaukee full timeout,,111-108,,
0:04.0,,,111-108,,M. Beasley enters the game for N. Jokic
0:04.0,,,111-108,,T. Craig enters the game for J. Hernangomez
0:04.0,J. Terry enters the game for J. Henson,,111-108,,
0:04.0,,,111-108,,Personal take foul by T. Craig (drawn by E. Bledsoe)
0:02.0,Turnover by K. Middleton (bad pass; steal by J. Murray),,111-108,,
0:02.0,,,111-108,,Shooting foul by J. Terry (drawn by J. Murray)
0:02.0,,,111-109,1,J. Murray makes free throw 1 of 3
0:02.0,,,111-110,1,J. Murray makes free throw 2 of 3
0:02.0,,,111-110,,N. Jokic enters the game for M. Beasley
0:02.0,T. Zeller enters the game for T. Snell,,111-110,,
0:02.0,,,111-111,1,J. Murray makes free throw 3 of 3
0:02.0,Milwaukee full timeout,,111-111,,
0:02.0,,,111-111,,D. Harris enters the game for J. Murray
0:02.0,,,111-111,,J. Hernangomez enters the game for N. Jokic
0:02.0,T. Snell enters the game for T. Zeller,,111-111,,
0:02.0,,,111-111,,N. Jokic enters the game for T. Craig
0:02.0,,,111-111,,J. Murray enters the game for D. Harris
0:02.0,J. Henson enters the game for J. Terry,,111-111,,
0:02.0,T. Zeller enters the game for T. Snell,,111-111,,
0:01.0,Turnover by E. Bledsoe (bad pass),,111-111,,
0:00.0,,,111-111,,N. Jokic misses 3-pt shot from 26 ft
0:00.0,,,111-111,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:43.0,,,111-113,2,J. Murray makes 2-pt shot from 11 ft (assist by W. Barton)
4:22.0,Turnover by J. Parker (lost ball; steal by P. Millsap),,111-113,,
4:22.0,Personal foul by J. Parker (drawn by J. Murray),,111-113,,
4:10.0,,,111-116,3,T. Craig makes 3-pt shot from 23 ft (assist by N. Jokic)
3:52.0,,,111-116,,Def 3 sec tech foul by T. Craig
3:52.0,K. Middleton makes technical free throw,1,112-116,,
3:38.0,T. Snell misses 3-pt shot from 22 ft,,112-116,,
3:34.0,,,112-116,,Defensive rebound by P. Millsap
3:27.0,,,112-116,,Turnover by P. Millsap (traveling)
3:16.0,K. Middleton misses 2-pt shot from 8 ft,,112-116,,
3:14.0,Offensive rebound by Team,,112-116,,
3:07.0,J. Parker misses 3-pt shot from 22 ft,,112-116,,
3:03.0,,,112-116,,Defensive rebound by W. Barton
2:42.0,,,112-116,,P. Millsap misses 2-pt shot from 18 ft
2:40.0,,,112-116,,Offensive rebound by T. Craig
2:19.0,,,112-118,2,P. Millsap makes 2-pt shot from 10 ft (assist by J. Murray)
2:08.0,Shooting foul by J. Murray (drawn by K. Middleton),,112-118,,
2:08.0,K. Middleton makes free throw 1 of 2,1,113-118,,
2:08.0,K. Middleton makes free throw 2 of 2,1,114-118,,
1:48.0,,,114-121,3,N. Jokic makes 3-pt shot from 24 ft (assist by J. Murray)
1:47.0,Milwaukee full timeout,,114-121,,
1:37.0,E. Bledsoe misses 3-pt shot from 24 ft,,114-121,,
1:34.0,,,114-121,,Defensive rebound by N. Jokic
1:27.0,Personal foul by K. Middleton (drawn by W. Barton),,114-121,,
1:14.0,,,114-121,,J. Murray misses 2-pt shot from 17 ft
1:11.0,,,114-121,,Offensive rebound by J. Murray
1:01.0,,,114-121,,Turnover by J. Murray (bad pass; steal by J. Henson)
0:54.0,J. Parker makes 2-pt shot from 1 ft (assist by J. Henson),2,116-121,,
0:47.0,,,116-123,2,P. Millsap makes 2-pt shot from 1 ft (assist by T. Craig)
0:44.0,K. Middleton misses 3-pt shot from 27 ft,,116-123,,
0:44.0,Offensive rebound by J. Henson,,116-123,,
0:40.0,J. Henson misses 3-pt shot from 23 ft,,116-123,,
0:37.0,Offensive rebound by J. Parker,,116-123,,
0:37.0,J. Parker makes 2-pt shot from 1 ft,2,118-123,,
0:35.0,Personal take foul by J. Parker (drawn by W. Barton),,118-123,,
0:35.0,,,118-124,1,W. Barton makes free throw 1 of 2
0:35.0,,,118-124,,J. Hernangomez enters the game for N. Jokic
0:35.0,,,118-124,,M. Beasley enters the game for J. Murray
0:35.0,,,118-125,1,W. Barton makes free throw 2 of 2
0:35.0,Milwaukee full timeout,,118-125,,
0:35.0,J. Terry enters the game for J. Henson,,118-125,,
0:29.0,J. Parker makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,121-125,,
0:29.0,,,121-125,,Denver full timeout
0:29.0,,,121-125,,D. Harris enters the game for T. Craig
0:29.0,,,121-125,,J. Murray enters the game for M. Beasley
0:29.0,,,121-125,,N. Jokic enters the game for J. Hernangomez
0:29.0,S. Brown enters the game for J. Terry,,121-125,,
0:29.0,,,121-125,,Denver full timeout
0:28.0,Personal take foul by E. Bledsoe (drawn by P. Millsap),,121-125,,
0:28.0,,,121-126,1,P. Millsap makes free throw 1 of 2
0:28.0,,,121-126,,T. Craig enters the game for J. Murray
0:28.0,,,121-126,,M. Beasley enters the game for N. Jokic
0:28.0,J. Terry enters the game for S. Brown,,121-126,,
0:28.0,,,121-126,,P. Millsap misses free throw 2 of 2
0:27.0,Defensive rebound by K. Middleton,,121-126,,
0:27.0,,,121-126,,Personal foul by P. Millsap (drawn by K. Middleton)
0:19.0,E. Bledsoe makes 2-pt shot from 2 ft,2,123-126,,
0:16.0,Personal take foul by E. Bledsoe (drawn by M. Beasley),,123-126,,
0:16.0,,,123-126,,M. Beasley misses free throw 1 of 2
0:16.0,,,123-126,,Offensive rebound by Team
0:16.0,,,123-126,,J. Murray enters the game for D. Harris
0:16.0,,,123-126,,N. Jokic enters the game for T. Craig
0:16.0,J. Henson enters the game for T. Snell,,123-126,,
0:16.0,,,123-126,,M. Beasley misses free throw 2 of 2
0:15.0,Defensive rebound by J. Parker,,123-126,,
0:07.0,E. Bledsoe makes 2-pt shot from 3 ft (assist by J. Parker),2,125-126,,
0:07.0,Personal take foul by E. Bledsoe (drawn by M. Beasley),,125-126,,
0:07.0,S. Brown enters the game for E. Bledsoe,,125-126,,
0:07.0,,,125-127,1,M. Beasley makes free throw 1 of 2
0:07.0,,,125-127,,T. Craig enters the game for N. Jokic
0:07.0,,,125-128,1,M. Beasley makes free throw 2 of 2
0:02.0,J. Parker misses 3-pt shot from 26 ft,,125-128,,
0:01.0,,,125-128,,Defensive rebound by Team
0:01.0,,,125-128,,N. Jokic enters the game for M. Beasley
0:01.0,,,125-128,,D. Harris enters the game for T. Craig
