time,Brooklyn,pts.away,score,pts.home,Golden State
1:48.0,S. Dinwiddie misses 3-pt shot from 26 ft,,98-111,,
1:44.0,Offensive rebound by C. LeVert,,98-111,,
1:40.0,A. Crabbe misses 2-pt shot from 18 ft,,98-111,,
1:36.0,,,98-111,,Defensive rebound by K. Looney
1:23.0,,,98-111,,K. Thompson misses 2-pt shot from 17 ft
1:19.0,Defensive rebound by R. Hollis-Jefferson,,98-111,,
1:19.0,,,98-111,,Personal foul by K. Durant (drawn by R. Hollis-Jefferson)
1:19.0,R. Hollis-Jefferson makes free throw 1 of 2,1,99-111,,
1:19.0,,,99-111,,Q. Cook enters the game for S. Curry
1:19.0,,,99-111,,J. McGee enters the game for K. Durant
1:19.0,R. Hollis-Jefferson makes free throw 2 of 2,1,100-111,,
0:59.0,,,100-111,,J. McGee misses 2-pt shot from 2 ft
0:56.0,Defensive rebound by R. Hollis-Jefferson,,100-111,,
0:54.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by J. McGee),,100-111,,
0:54.0,Offensive rebound by Team,,100-111,,
0:48.0,C. LeVert misses 2-pt shot from 12 ft,,100-111,,
0:45.0,,,100-111,,Defensive rebound by K. Thompson
0:38.0,,,100-111,,Q. Cook misses 3-pt shot from 27 ft
0:34.0,Defensive rebound by S. Dinwiddie,,100-111,,
0:32.0,,,100-111,,Personal foul by Q. Cook (drawn by R. Hollis-Jefferson)
0:32.0,R. Hollis-Jefferson makes free throw 1 of 2,1,101-111,,
0:32.0,R. Hollis-Jefferson misses free throw 2 of 2,,101-111,,
0:30.0,,,101-111,,Defensive rebound by J. McGee
0:15.0,,,101-114,3,K. Thompson makes 3-pt shot from 27 ft
0:06.0,C. LeVert misses 3-pt shot from 24 ft,,101-114,,
0:01.0,Offensive rebound by A. Crabbe,,101-114,,
