time,Oklahoma City,pts.away,score,pts.home,Memphis
8:35.0,Defensive rebound by C. Anthony,,53-60,,
8:32.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,55-60,,
8:32.0,Shooting foul by D. Brooks (drawn by S. Adams),,55-60,,
8:32.0,,,55-60,,Technical foul by A. Harrison
8:32.0,R. Westbrook misses technical free throw,,55-60,,
8:32.0,Offensive rebound by Team,,55-60,,
8:32.0,,,55-60,,M. Chalmers enters the game for A. Harrison
8:32.0,S. Adams misses free throw 1 of 1,,55-60,,
8:28.0,,,55-60,,Defensive rebound by M. Chalmers
8:24.0,Personal foul by A. Roberson (drawn by T. Evans),,55-60,,
8:10.0,,,55-60,,T. Evans misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by S. Adams,,55-60,,
8:00.0,R. Westbrook misses 2-pt shot from 8 ft,,55-60,,
7:55.0,,,55-60,,Defensive rebound by T. Evans
7:46.0,,,55-63,3,D. Brooks makes 3-pt shot from 26 ft (assist by T. Evans)
7:45.0,Oklahoma City full timeout,,55-63,,
7:32.0,R. Westbrook misses 2-pt shot at rim,,55-63,,
7:28.0,Offensive rebound by S. Adams,,55-63,,
7:28.0,S. Adams makes 2-pt shot at rim,2,57-63,,
7:00.0,,,57-63,,D. Brooks misses 3-pt shot from 25 ft
6:58.0,,,57-63,,Offensive rebound by Team
6:38.0,,,57-63,,M. Gasol misses 2-pt shot from 2 ft
6:38.0,Defensive rebound by C. Anthony,,57-63,,
6:31.0,A. Abrines makes 3-pt shot from 24 ft (assist by R. Westbrook),3,60-63,,
6:13.0,,,60-63,,T. Evans misses 2-pt shot from 2 ft (block by A. Roberson)
6:11.0,Defensive rebound by C. Anthony,,60-63,,
6:07.0,C. Anthony misses 3-pt shot from 26 ft,,60-63,,
6:04.0,Offensive rebound by A. Roberson,,60-63,,
6:04.0,A. Roberson misses 2-pt shot at rim,,60-63,,
6:04.0,,,60-63,,Defensive rebound by Team
6:04.0,,,60-63,,J. Ennis enters the game for D. Brooks
5:47.0,,,60-63,,J. Green misses 3-pt shot from 27 ft
5:43.0,,,60-63,,Offensive rebound by M. Gasol
5:35.0,,,60-63,,T. Evans misses 3-pt shot from 26 ft
5:32.0,,,60-63,,Offensive rebound by T. Evans
5:16.0,,,60-63,,M. Chalmers misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by R. Westbrook,,60-63,,
5:11.0,,,60-63,,Personal foul by M. Gasol (drawn by S. Adams)
5:11.0,,,60-63,,J. Martin enters the game for J. Green
4:58.0,C. Anthony makes 2-pt shot from 19 ft,2,62-63,,
4:37.0,,,62-63,,Turnover by M. Chalmers (bad pass; steal by R. Westbrook)
4:34.0,,,62-63,,Personal foul by J. Martin (drawn by R. Westbrook)
4:34.0,,,62-63,,A. Harrison enters the game for T. Evans
4:34.0,R. Felton enters the game for A. Roberson,,62-63,,
4:24.0,Shooting foul by J. Martin (drawn by C. Anthony),,62-63,,
4:24.0,C. Anthony makes free throw 1 of 2,1,63-63,,
4:24.0,,,63-63,,D. Brooks enters the game for J. Martin
4:24.0,C. Anthony makes free throw 2 of 2,1,64-63,,
4:00.0,,,64-65,2,D. Brooks makes 2-pt shot from 7 ft
3:45.0,Turnover by R. Westbrook (bad pass; steal by M. Chalmers),,64-65,,
3:41.0,,,64-65,,M. Chalmers misses 2-pt shot at rim
3:36.0,Defensive rebound by A. Abrines,,64-65,,
3:33.0,C. Anthony misses 3-pt shot from 25 ft,,64-65,,
3:33.0,Offensive rebound by Team,,64-65,,
3:33.0,,,64-65,,Loose ball foul by J. Ennis (drawn by S. Adams)
3:33.0,S. Adams makes free throw 1 of 2,1,65-65,,
3:33.0,,,65-65,,B. McLemore enters the game for M. Chalmers
3:33.0,S. Adams misses free throw 2 of 2,,65-65,,
3:31.0,,,65-65,,Defensive rebound by J. Ennis
3:11.0,,,65-65,,Turnover by M. Gasol (lost ball; steal by C. Anthony)
3:05.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,67-65,,
3:05.0,Shooting foul by D. Brooks (drawn by S. Adams),,67-65,,
3:05.0,,,67-65,,D. Davis enters the game for M. Gasol
3:05.0,S. Adams misses free throw 1 of 1,,67-65,,
3:03.0,,,67-65,,Defensive rebound by J. Ennis
2:44.0,,,67-65,,Offensive foul by D. Davis (drawn by R. Felton)
2:44.0,,,67-65,,Turnover by D. Davis (offensive foul)
2:44.0,J. Grant enters the game for C. Anthony,,67-65,,
2:44.0,P. Patterson enters the game for S. Adams,,67-65,,
2:32.0,Offensive charge foul by A. Abrines (drawn by D. Brooks),,67-65,,
2:32.0,Turnover by A. Abrines (offensive foul),,67-65,,
2:12.0,,,67-65,,A. Harrison misses 2-pt shot from 18 ft
2:08.0,,,67-65,,Offensive rebound by D. Davis
1:56.0,,,67-65,,A. Harrison misses 2-pt shot from 12 ft
1:56.0,,,67-65,,Offensive rebound by Team
1:56.0,Loose ball foul by R. Westbrook (drawn by J. Ennis),,67-65,,
1:56.0,,,67-66,1,J. Ennis makes free throw 1 of 2
1:56.0,,,67-66,,J. Ennis misses free throw 2 of 2
1:53.0,Defensive rebound by R. Westbrook,,67-66,,
1:46.0,R. Westbrook misses 3-pt shot from 26 ft,,67-66,,
1:43.0,,,67-66,,Defensive rebound by B. McLemore
1:23.0,,,67-66,,D. Brooks misses 2-pt shot from 2 ft
1:21.0,Defensive rebound by P. Patterson,,67-66,,
1:15.0,Turnover by R. Felton (traveling),,67-66,,
0:53.0,,,67-66,,A. Harrison misses 2-pt shot from 9 ft
0:51.0,Defensive rebound by R. Westbrook,,67-66,,
0:42.0,P. Patterson misses 3-pt shot from 26 ft,,67-66,,
