time,Indiana,pts.away,score,pts.home,Dallas
1:33.0,,,96-99,,Offensive rebound by Team
1:28.0,,,96-99,,W. Matthews misses 3-pt shot from 27 ft
1:24.0,Defensive rebound by V. Oladipo,,96-99,,
1:09.0,V. Oladipo misses 3-pt shot from 25 ft,,96-99,,
1:07.0,,,96-99,,Defensive rebound by H. Barnes
0:53.0,,,96-99,,H. Barnes misses 3-pt shot from 22 ft
0:49.0,Defensive rebound by M. Turner,,96-99,,
0:45.0,,,96-99,,Personal foul by W. Matthews (drawn by V. Oladipo)
0:45.0,V. Oladipo makes free throw 1 of 2,1,97-99,,
0:45.0,V. Oladipo misses free throw 2 of 2,,97-99,,
0:44.0,,,97-99,,Defensive rebound by J. Barea
0:33.0,,,97-102,3,W. Matthews makes 3-pt shot from 24 ft (assist by J. Barea)
0:33.0,Indiana full timeout,,97-102,,
0:33.0,,,97-102,,Y. Ferrell enters the game for J. Barea
0:28.0,Shooting foul by D. Powell (drawn by V. Oladipo),,97-102,,
0:28.0,V. Oladipo makes free throw 1 of 2,1,98-102,,
0:28.0,,,98-102,,J. Barea enters the game for Y. Ferrell
0:28.0,V. Oladipo makes free throw 2 of 2,1,99-102,,
0:21.0,Personal take foul by T. Young (drawn by D. Smith),,99-102,,
0:21.0,,,99-102,,D. Smith misses free throw 1 of 2
0:21.0,,,99-102,,Offensive rebound by Team
0:21.0,,,99-102,,Y. Ferrell enters the game for J. Barea
0:21.0,,,99-103,1,D. Smith makes free throw 2 of 2
0:14.0,V. Oladipo makes 2-pt shot at rim,2,101-103,,
0:12.0,,,101-105,,D. Nowitzki enters the game for D. Powell
0:11.0,Personal take foul by C. Joseph (drawn by H. Barnes),,101-105,,
0:11.0,,,101-104,1,H. Barnes makes free throw 1 of 2
0:11.0,,,101-104,,D. Powell enters the game for D. Nowitzki
0:11.0,,,101-105,1,H. Barnes makes free throw 2 of 2
0:11.0,Indiana full timeout,,101-105,,
0:11.0,L. Stephenson enters the game for T. Young,,101-105,,
0:07.0,V. Oladipo misses 3-pt shot from 26 ft,,101-105,,
0:04.0,,,101-105,,Defensive rebound by Y. Ferrell
0:04.0,Personal take foul by M. Turner (drawn by D. Smith),,101-105,,
0:04.0,,,101-106,1,Y. Ferrell makes free throw 1 of 2
0:04.0,,,101-107,1,Y. Ferrell makes free throw 2 of 2
0:03.0,B. Bogdanovic makes 2-pt shot from 16 ft (assist by L. Stephenson),2,103-107,,
0:02.0,Personal take foul by L. Stephenson (drawn by H. Barnes),,103-107,,
0:02.0,,,103-108,1,H. Barnes makes free throw 1 of 2
0:02.0,,,103-109,1,H. Barnes makes free throw 2 of 2
0:01.0,Turnover by L. Stephenson (bad pass; steal by Y. Ferrell),,103-109,,
