time,Houston,pts.away,score,pts.home,Portland
1:46.0,J. Harden makes free throw 1 of 1,1,117-113,,
1:39.0,,,117-115,2,D. Lillard makes 2-pt shot from 2 ft
1:25.0,J. Harden makes 2-pt shot at rim,2,119-115,,
1:14.0,,,119-115,,D. Lillard misses 2-pt shot from 15 ft
1:11.0,Defensive rebound by T. Ariza,,119-115,,
0:56.0,Turnover by C. Paul (lost ball; steal by D. Lillard),,119-115,,
0:56.0,Personal foul by J. Harden (drawn by D. Lillard),,119-115,,
0:45.0,,,119-115,,C. McCollum misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by C. Paul,,119-115,,
0:30.0,Shooting foul by A. Aminu (drawn by J. Harden),,119-115,,
0:30.0,J. Harden makes free throw 1 of 2,1,120-115,,
0:30.0,J. Harden misses free throw 2 of 2,,120-115,,
0:29.0,,,120-115,,Defensive rebound by A. Aminu
0:20.0,,,120-115,,D. Lillard misses 3-pt shot from 26 ft
0:18.0,Defensive rebound by C. Paul,,120-115,,
0:18.0,,,120-115,,Personal take foul by E. Turner (drawn by C. Paul)
0:18.0,C. Paul makes free throw 1 of 2,1,121-115,,
0:18.0,C. Paul makes free throw 2 of 2,1,122-115,,
0:12.0,,,122-117,2,C. McCollum makes 2-pt shot at rim
0:05.0,,,122-117,,Personal take foul by C. McCollum (drawn by C. Paul)
0:05.0,C. Paul makes free throw 1 of 2,1,123-117,,
0:05.0,C. Paul makes free throw 2 of 2,1,124-117,,
0:00.0,,,124-117,,C. McCollum misses 3-pt shot from 25 ft
0:00.0,,,124-117,,Offensive rebound by Team
