time,New York,pts.away,score,pts.home,Oklahoma City
6:31.0,K. Porzingis makes 2-pt shot at rim (assist by K. O'Quinn),2,73-92,,
6:20.0,,,73-92,,P. George misses 2-pt shot from 16 ft
6:17.0,Defensive rebound by K. Porzingis,,73-92,,
6:12.0,T. Hardaway makes 3-pt shot from 22 ft (assist by D. McDermott),3,76-92,,
6:10.0,,,76-92,,Oklahoma City full timeout
5:49.0,,,76-92,,J. Grant misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by K. O'Quinn,,76-92,,
5:46.0,New York full timeout,,76-92,,
5:30.0,Shooting foul by J. Grant (drawn by K. Porzingis),,76-92,,
5:30.0,K. Porzingis misses free throw 1 of 2,,76-92,,
5:30.0,Offensive rebound by Team,,76-92,,
5:30.0,K. Porzingis makes free throw 2 of 2,1,77-92,,
5:17.0,,,77-95,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:53.0,D. McDermott makes 2-pt shot at rim (assist by K. Porzingis),2,79-95,,
4:37.0,,,79-98,3,J. Grant makes 3-pt shot from 22 ft (assist by R. Westbrook)
4:24.0,K. O'Quinn misses 3-pt shot from 24 ft,,79-98,,
4:22.0,,,79-98,,Defensive rebound by R. Westbrook
4:15.0,,,79-101,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
3:59.0,K. Porzingis misses 2-pt shot from 1 ft,,79-101,,
3:56.0,,,79-101,,Defensive rebound by R. Westbrook
3:53.0,,,79-101,,Turnover by R. Westbrook (out of bounds lost ball)
3:46.0,,,79-101,,Def 3 sec tech foul by S. Adams
3:46.0,K. Porzingis makes technical free throw,1,80-101,,
3:46.0,W. Hernangomez enters the game for K. O'Quinn,,80-101,,
3:42.0,D. McDermott misses 3-pt shot from 26 ft,,80-101,,
3:39.0,,,80-101,,Defensive rebound by P. George
3:28.0,Personal foul by T. Hardaway (drawn by S. Adams),,80-101,,
3:28.0,,,80-101,,T. Ferguson enters the game for P. George
3:17.0,,,80-101,,A. Abrines misses 3-pt shot from 26 ft
3:15.0,Defensive rebound by Team,,80-101,,
3:03.0,,,80-101,,Violation by S. Adams (kicked ball)
3:03.0,,,80-101,,R. Felton enters the game for R. Westbrook
2:55.0,R. Baker misses 2-pt shot from 5 ft (block by S. Adams),,80-101,,
2:55.0,Offensive rebound by K. Porzingis,,80-101,,
2:55.0,K. Porzingis misses 2-pt shot at rim,,80-101,,
2:52.0,,,80-101,,Defensive rebound by J. Grant
2:48.0,Personal foul by T. Hardaway (drawn by J. Grant),,80-101,,
2:48.0,,,80-101,,D. Johnson enters the game for S. Adams
2:48.0,F. Ntilikina enters the game for T. Hardaway,,80-101,,
2:48.0,D. Dotson enters the game for K. Porzingis,,80-101,,
2:47.0,,,80-101,,T. Ferguson misses 2-pt shot from 1 ft
2:47.0,,,80-101,,Offensive rebound by J. Grant
2:35.0,,,80-101,,J. Grant misses 2-pt shot from 2 ft (block by W. Hernangomez)
2:34.0,,,80-101,,Offensive rebound by Team
2:34.0,,,80-101,,J. Huestis enters the game for J. Grant
2:32.0,Personal foul by F. Ntilikina (drawn by A. Abrines),,80-101,,
2:22.0,,,80-103,2,D. Johnson makes 2-pt shot at rim (assist by R. Felton)
2:15.0,W. Hernangomez makes 2-pt shot at rim (assist by R. Baker),2,82-103,,
2:15.0,Shooting foul by A. Abrines (drawn by W. Hernangomez),,82-103,,
2:15.0,W. Hernangomez makes free throw 1 of 1,1,83-103,,
2:02.0,,,83-103,,A. Abrines misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by R. Baker,,83-103,,
1:47.0,Turnover by R. Baker (bad pass; steal by D. Johnson),,83-103,,
1:43.0,,,83-103,,Turnover by J. Huestis (traveling)
1:32.0,D. Dotson misses 2-pt shot from 20 ft,,83-103,,
1:30.0,,,83-103,,Defensive rebound by D. Johnson
1:20.0,,,83-103,,D. Johnson misses 2-pt shot from 1 ft
1:20.0,,,83-103,,Offensive rebound by D. Johnson
1:16.0,,,83-103,,Turnover by A. Abrines (traveling)
1:04.0,Turnover by W. Hernangomez (lost ball; steal by R. Felton),,83-103,,
0:56.0,,,83-103,,T. Ferguson misses 2-pt shot from 8 ft
0:53.0,,,83-103,,Offensive rebound by D. Johnson
0:53.0,,,83-105,2,D. Johnson makes 2-pt shot at rim
0:40.0,,,83-105,,Personal foul by A. Abrines (drawn by R. Baker)
0:40.0,R. Baker makes free throw 1 of 2,1,84-105,,
0:40.0,R. Baker misses free throw 2 of 2,,84-105,,
0:40.0,Turnover by W. Hernangomez (turnover),,84-105,,
0:23.0,,,84-105,,T. Ferguson misses 3-pt shot from 25 ft
0:20.0,,,84-105,,Offensive rebound by D. Johnson
0:18.0,,,84-105,,A. Abrines misses 3-pt shot from 23 ft
0:18.0,,,84-105,,Offensive rebound by J. Huestis
