time,Washington,pts.away,score,pts.home,Detroit
0:28.0,,,118-112,2,I. Smith makes 2-pt shot from 11 ft
0:26.0,,,118-112,,Personal foul by A. Drummond (drawn by B. Beal)
0:26.0,,,118-112,,H. Ellenson enters the game for A. Drummond
0:26.0,B. Beal makes free throw 1 of 2,1,119-112,,
0:26.0,B. Beal makes free throw 2 of 2,1,120-112,,
0:19.0,,,120-112,,L. Kennard misses 3-pt shot from 29 ft
0:17.0,Defensive rebound by Team,,120-112,,
0:17.0,,,120-112,,Loose ball foul by H. Ellenson (drawn by M. Morris)
0:17.0,M. Morris makes free throw 1 of 2,1,121-112,,
0:17.0,M. Morris makes free throw 2 of 2,1,122-112,,
0:11.0,,,122-112,,A. Tolliver misses 3-pt shot from 28 ft
0:07.0,Defensive rebound by K. Oubre,,122-112,,
