time,Charlotte,pts.away,score,pts.home,Cleveland
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,57-54,,J. Crowder misses 2-pt shot from 21 ft
11:39.0,Defensive rebound by M. Williams,,57-54,,
11:30.0,Turnover by D. Howard (bad pass),,57-54,,
11:16.0,,,57-57,3,L. James makes 3-pt shot from 25 ft
11:16.0,,,57-57,,Shooting foul by D. Howard (drawn by L. James)
11:16.0,,,57-57,,L. James misses free throw 1 of 1
11:14.0,Defensive rebound by D. Howard,,57-57,,
10:53.0,J. Lamb makes 3-pt shot from 26 ft,3,60-57,,
10:28.0,,,60-60,3,L. James makes 3-pt shot from 33 ft (assist by J. Crowder)
10:08.0,M. Kidd-Gilchrist makes 2-pt shot from 8 ft (assist by J. Lamb),2,62-60,,
9:48.0,,,62-62,2,K. Love makes 2-pt shot from 12 ft
9:33.0,D. Howard makes 2-pt shot from 12 ft (assist by J. Lamb),2,64-62,,
9:16.0,,,64-62,,J. Smith misses 2-pt shot from 19 ft
9:14.0,Defensive rebound by M. Kidd-Gilchrist,,64-62,,
9:12.0,,,64-62,,Personal foul by J. Crowder (drawn by D. Howard)
9:05.0,K. Walker makes 2-pt shot from 16 ft,2,66-62,,
8:44.0,,,66-62,,J. Calderon misses 3-pt shot from 22 ft
8:41.0,Defensive rebound by J. Lamb,,66-62,,
8:38.0,Shooting foul by L. James (drawn by M. Kidd-Gilchrist),,66-62,,
8:38.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,67-62,,
8:38.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,68-62,,
8:22.0,,,68-64,2,L. James makes 2-pt shot from 2 ft (assist by J. Crowder)
7:58.0,K. Walker makes 2-pt shot from 19 ft,2,70-64,,
7:43.0,,,70-64,,K. Love misses 2-pt shot from 13 ft
7:41.0,Defensive rebound by M. Williams,,70-64,,
7:36.0,K. Walker misses 2-pt shot from 19 ft,,70-64,,
7:32.0,,,70-64,,Defensive rebound by L. James
7:23.0,,,70-64,,Turnover by L. James (bad pass; steal by J. Lamb)
7:21.0,J. Lamb makes 2-pt shot from 2 ft,2,72-64,,
7:21.0,,,72-64,,Cleveland full timeout
7:04.0,,,72-67,3,J. Smith makes 3-pt shot from 22 ft (assist by L. James)
6:51.0,,,72-67,,Personal foul by J. Smith (drawn by J. Lamb)
6:51.0,,,72-67,,C. Frye enters the game for K. Love
6:41.0,Turnover by D. Howard (traveling),,72-67,,
6:29.0,,,72-67,,J. Crowder misses 3-pt shot from 23 ft
6:26.0,Defensive rebound by J. Lamb,,72-67,,
6:14.0,D. Howard makes 2-pt shot from 2 ft (assist by J. Lamb),2,74-67,,
6:14.0,Shooting foul by J. Smith (drawn by D. Howard),,74-67,,
6:14.0,D. Howard misses free throw 1 of 1,,74-67,,
6:12.0,,,74-67,,Defensive rebound by L. James
6:00.0,,,74-67,,D. Wade enters the game for J. Calderon
5:51.0,,,74-67,,L. James misses 3-pt shot from 27 ft
5:49.0,Defensive rebound by K. Walker,,74-67,,
