time,Indiana,pts.away,score,pts.home,Houston
1:36.0,,,95-118,,L. Mbah a Moute misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by T. Leaf,,95-118,,
1:26.0,Jump ball: B. Weber vs. J. Young (B. Brown gains possession),,,,Jump ball: B. Weber vs. J. Young (B. Brown gains possession)
1:26.0,Turnover by J. Young (turnover; steal by B. Weber),,95-118,,
1:20.0,,,95-118,,T. Black misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by L. Stephenson,,95-118,,
1:07.0,J. Young makes 2-pt shot from 2 ft,2,97-118,,
0:49.0,,,97-118,,L. Mbah a Moute misses 2-pt shot from 1 ft
0:47.0,Defensive rebound by L. Stephenson,,97-118,,
0:43.0,J. Young misses 3-pt shot from 25 ft,,97-118,,
0:41.0,,,97-118,,Defensive rebound by B. Weber
0:25.0,,,97-118,,B. Brown misses 3-pt shot from 26 ft
0:23.0,,,97-118,,Offensive rebound by Team
