time,LA Clippers,pts.away,score,pts.home,Toronto
6:59.0,,,98-88,1,D. DeRozan makes free throw 1 of 2
6:59.0,,,98-89,1,D. DeRozan makes free throw 2 of 2
6:41.0,M. Teodosic misses 3-pt shot from 22 ft,,98-89,,
6:37.0,,,98-89,,Defensive rebound by K. Lowry
6:36.0,Personal take foul by M. Teodosic (drawn by K. Lowry),,98-89,,
6:36.0,A. Rivers enters the game for M. Teodosic,,98-89,,
6:36.0,D. Jordan enters the game for B. Marjanovic,,98-89,,
6:36.0,T. Harris enters the game for M. Harrell,,98-89,,
6:21.0,,,98-91,2,K. Lowry makes 2-pt shot at rim
6:12.0,S. Thornwell makes 2-pt shot from 1 ft (assist by L. Williams),2,100-91,,
5:51.0,,,100-93,2,D. DeRozan makes 2-pt shot from 10 ft
5:28.0,L. Williams makes 3-pt shot from 25 ft,3,103-93,,
5:18.0,Personal foul by A. Rivers (drawn by K. Lowry),,103-93,,
5:18.0,,,103-93,,F. VanVleet enters the game for C. Miles
5:04.0,,,103-93,,D. DeRozan misses 2-pt shot from 20 ft
5:00.0,Defensive rebound by D. Jordan,,103-93,,
4:52.0,A. Rivers misses 2-pt shot from 8 ft,,103-93,,
4:52.0,,,103-93,,Defensive rebound by J. Valanciunas
4:42.0,,,103-93,,Offensive charge foul by D. DeRozan (drawn by A. Rivers)
4:42.0,,,103-93,,Turnover by D. DeRozan (offensive foul)
4:30.0,L. Williams makes 2-pt shot from 17 ft,2,105-93,,
4:13.0,,,105-95,2,D. DeRozan makes 2-pt shot from 1 ft
3:53.0,L. Williams misses 2-pt shot from 21 ft,,105-95,,
3:48.0,,,105-95,,Defensive rebound by S. Ibaka
3:32.0,,,105-95,,J. Valanciunas misses 2-pt shot from 1 ft
3:24.0,,,105-95,,Offensive rebound by J. Valanciunas
3:24.0,,,105-97,2,J. Valanciunas makes 2-pt shot at rim
3:13.0,A. Rivers misses 2-pt shot from 5 ft,,105-97,,
3:03.0,Offensive rebound by D. Jordan,,105-97,,
3:03.0,D. Jordan misses 2-pt shot at rim,,105-97,,
3:03.0,,,105-97,,Defensive rebound by J. Valanciunas
2:58.0,,,105-100,3,S. Ibaka makes 3-pt shot from 22 ft (assist by D. DeRozan)
2:57.0,LA Clippers full timeout,,105-100,,
2:47.0,L. Williams makes 2-pt shot from 10 ft,2,107-100,,
2:47.0,Shooting foul by F. VanVleet (drawn by L. Williams),,107-100,,
2:47.0,L. Williams makes free throw 1 of 1,1,108-100,,
2:36.0,,,108-103,3,F. VanVleet makes 3-pt shot from 22 ft (assist by D. DeRozan)
2:10.0,L. Williams makes 2-pt shot from 13 ft,2,110-103,,
1:54.0,,,110-103,,J. Valanciunas misses 2-pt shot from 4 ft
1:50.0,Defensive rebound by D. Jordan,,110-103,,
1:30.0,L. Williams makes 2-pt shot from 21 ft,2,112-103,,
1:29.0,,,112-103,,Toronto full timeout
1:29.0,,,112-103,,C. Miles enters the game for J. Valanciunas
1:20.0,,,112-103,,Turnover by K. Lowry (bad pass; steal by A. Rivers)
1:00.0,Shooting foul by S. Ibaka (drawn by D. Jordan),,112-103,,
1:00.0,D. Jordan makes free throw 1 of 2,1,113-103,,
1:00.0,D. Jordan misses free throw 2 of 2,,113-103,,
0:57.0,,,113-103,,Defensive rebound by S. Ibaka
0:47.0,,,113-103,,C. Miles misses 3-pt shot from 24 ft
0:43.0,Defensive rebound by S. Thornwell,,113-103,,
0:28.0,T. Harris makes 2-pt shot from 9 ft (assist by A. Rivers),2,115-103,,
0:23.0,,,115-103,,K. Lowry misses 3-pt shot from 30 ft
0:18.0,Defensive rebound by T. Harris,,115-103,,
0:14.0,,,115-103,,Personal foul by F. VanVleet (drawn by T. Harris)
0:14.0,T. Harris makes free throw 1 of 2,1,116-103,,
0:14.0,T. Harris makes free throw 2 of 2,1,117-103,,
0:10.0,,,117-106,3,F. VanVleet makes 3-pt shot from 26 ft
