time,Milwaukee,pts.away,score,pts.home,LA Clippers
5:51.0,Turnover by E. Bledsoe (lost ball; steal by A. Rivers),,88-88,,
5:32.0,,,88-91,3,T. Harris makes 3-pt shot from 22 ft (assist by A. Rivers)
5:31.0,Milwaukee full timeout,,88-91,,
5:10.0,E. Bledsoe misses 2-pt shot from 2 ft,,88-91,,
5:06.0,,,88-91,,Defensive rebound by W. Johnson
5:02.0,,,88-91,,L. Williams misses 2-pt shot from 1 ft
4:59.0,Defensive rebound by J. Henson,,88-91,,
4:56.0,J. Terry misses 3-pt shot from 23 ft,,88-91,,
4:50.0,,,88-91,,Defensive rebound by D. Jordan
4:39.0,,,88-93,2,A. Rivers makes 2-pt shot from 1 ft
4:31.0,Turnover by G. Antetokounmpo (lost ball; steal by W. Johnson),,88-93,,
4:12.0,,,88-96,3,W. Johnson makes 3-pt shot from 23 ft (assist by T. Harris)
4:12.0,Milwaukee full timeout,,88-96,,
4:12.0,S. Brown enters the game for J. Terry,,88-96,,
3:53.0,K. Middleton makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,91-96,,
3:34.0,,,91-96,,A. Rivers misses 3-pt shot from 26 ft
3:34.0,,,91-96,,Offensive rebound by Team
3:34.0,Loose ball foul by J. Henson (drawn by D. Jordan),,91-96,,
3:17.0,,,91-96,,A. Rivers misses 2-pt shot from 5 ft
3:14.0,Defensive rebound by K. Middleton,,91-96,,
3:07.0,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,93-96,,
2:44.0,,,93-99,3,L. Williams makes 3-pt shot from 25 ft
2:22.0,Shooting foul by W. Johnson (drawn by K. Middleton),,93-99,,
2:22.0,K. Middleton misses free throw 1 of 2,,93-99,,
2:22.0,Offensive rebound by Team,,93-99,,
2:22.0,K. Middleton makes free throw 2 of 2,1,94-99,,
2:10.0,,,94-102,3,T. Harris makes 3-pt shot from 22 ft (assist by D. Jordan)
1:55.0,G. Antetokounmpo makes 2-pt shot from 10 ft,2,96-102,,
1:34.0,,,96-105,3,A. Rivers makes 3-pt shot from 25 ft
1:26.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,98-105,,
1:00.0,,,98-105,,L. Williams misses 2-pt shot from 6 ft
0:57.0,Defensive rebound by J. Henson,,98-105,,
0:51.0,K. Middleton misses 3-pt shot from 24 ft (block by W. Johnson),,98-105,,
0:49.0,Offensive rebound by G. Antetokounmpo,,98-105,,
0:49.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,98-105,,
0:46.0,Offensive rebound by Team,,98-105,,
0:46.0,,,98-105,,S. Thornwell enters the game for L. Williams
0:46.0,J. Terry enters the game for S. Brown,,98-105,,
0:45.0,Turnover by K. Middleton (traveling),,98-105,,
0:45.0,,,98-105,,LA Clippers full timeout
0:45.0,,,98-105,,L. Williams enters the game for S. Thornwell
0:41.0,,,98-105,,Turnover by L. Williams (bad pass; steal by J. Terry)
0:34.0,K. Middleton misses 3-pt shot from 23 ft,,98-105,,
0:29.0,Offensive rebound by G. Antetokounmpo,,98-105,,
0:24.0,E. Bledsoe misses 3-pt shot from 25 ft,,98-105,,
0:17.0,Offensive rebound by J. Terry,,98-105,,
0:17.0,Turnover by J. Terry (bad pass),,98-105,,
