time,Orlando,pts.away,score,pts.home,Milwaukee
3:58.0,B. Biyombo makes free throw 2 of 2,1,89-105,,
3:51.0,Personal foul by B. Biyombo (drawn by T. Maker),,89-105,,
3:51.0,,,89-105,,T. Maker misses free throw 1 of 2
3:51.0,,,89-105,,Offensive rebound by Team
3:51.0,,,89-106,1,T. Maker makes free throw 2 of 2
3:30.0,B. Biyombo misses 2-pt shot from 1 ft,,89-106,,
3:27.0,,,89-106,,Defensive rebound by T. Maker
3:23.0,,,89-108,2,K. Middleton makes 2-pt shot from 16 ft
3:06.0,W. Iwundu makes 2-pt shot from 13 ft,2,91-108,,
3:05.0,,,91-108,,Milwaukee full timeout
3:05.0,,,91-108,,D. Wilson enters the game for M. Brogdon
3:05.0,,,91-108,,S. Kilpatrick enters the game for K. Middleton
2:53.0,,,91-108,,Turnover by S. Kilpatrick (bad pass; steal by M. Hezonja)
2:48.0,M. Hezonja makes 2-pt shot at rim,2,93-108,,
2:35.0,,,93-108,,Turnover by D. Wilson (traveling)
2:23.0,B. Biyombo makes 2-pt shot at rim (assist by W. Iwundu),2,95-108,,
1:57.0,,,95-108,,Turnover by Team (shot clock)
1:46.0,M. Hezonja misses 2-pt shot from 4 ft,,95-108,,
1:46.0,Offensive rebound by B. Biyombo,,95-108,,
1:46.0,Shooting foul by T. Maker (drawn by B. Biyombo),,95-108,,
1:46.0,B. Biyombo makes free throw 1 of 2,1,96-108,,
1:46.0,B. Biyombo makes free throw 2 of 2,1,97-108,,
1:24.0,,,97-108,,Turnover by D. Wilson (lost ball; steal by M. Hezonja)
1:10.0,M. Hezonja makes 3-pt shot from 27 ft (assist by B. Biyombo),3,100-108,,
0:50.0,,,100-108,,S. Kilpatrick misses 2-pt shot from 15 ft
0:48.0,Defensive rebound by W. Iwundu,,100-108,,
0:31.0,Turnover by W. Iwundu (bad pass; steal by T. Maker),,100-108,,
0:29.0,,,100-110,2,T. Maker makes 2-pt shot from 1 ft (assist by T. Snell)
0:24.0,S. Mack makes 2-pt shot at rim,2,102-110,,
0:24.0,Shooting foul by S. Kilpatrick (drawn by S. Mack),,102-110,,
0:24.0,S. Mack makes free throw 1 of 1,1,103-110,,
0:00.0,,,103-110,,Turnover by Team (shot clock)
