time,Phoenix,pts.away,score,pts.home,Detroit
4:03.0,J. Dudley makes 3-pt shot from 27 ft (assist by M. James),3,93-124,,
3:44.0,,,93-124,,H. Ellenson misses 3-pt shot from 26 ft
3:43.0,Defensive rebound by Team,,93-124,,
3:43.0,,,93-124,,Personal foul by B. Marjanovic (drawn by D. Bender)
3:43.0,,,93-124,,Personal foul by B. Marjanovic (drawn by M. Chriss)
3:43.0,M. Chriss misses free throw 1 of 2,,93-124,,
3:43.0,Offensive rebound by Team,,93-124,,
3:43.0,M. Chriss makes free throw 2 of 2,1,94-124,,
3:28.0,,,94-124,,R. Bullock misses 3-pt shot from 27 ft
3:26.0,Defensive rebound by J. Dudley,,94-124,,
3:23.0,,,94-124,,Personal foul by L. Kennard (drawn by M. James)
3:23.0,M. James makes free throw 1 of 2,1,95-124,,
3:23.0,M. James misses free throw 2 of 2,,95-124,,
3:19.0,,,95-124,,Defensive rebound by R. Bullock
3:10.0,Personal foul by M. Chriss (drawn by B. Marjanovic),,95-124,,
3:03.0,,,95-127,3,L. Kennard makes 3-pt shot from 27 ft (assist by H. Ellenson)
2:55.0,Shooting foul by L. Galloway (drawn by M. James),,95-127,,
2:55.0,M. James makes free throw 1 of 2,1,96-127,,
2:55.0,M. James misses free throw 2 of 2,,96-127,,
2:53.0,,,96-127,,Defensive rebound by H. Ellenson
2:35.0,,,96-127,,Turnover by H. Ellenson (bad pass; steal by J. Jackson)
2:31.0,J. Jackson makes 2-pt shot from 1 ft,2,98-127,,
2:19.0,,,98-127,,Turnover by L. Galloway (bad pass; steal by J. Dudley)
2:16.0,Shooting foul by B. Marjanovic (drawn by M. Chriss),,98-127,,
2:16.0,M. Chriss makes free throw 1 of 2,1,99-127,,
2:16.0,M. Chriss makes free throw 2 of 2,1,100-127,,
2:03.0,,,100-127,,Turnover by L. Kennard (bad pass; steal by D. Bender)
1:50.0,J. Jackson makes 2-pt shot from 19 ft,2,102-127,,
1:32.0,,,102-127,,B. Marjanovic misses 2-pt shot from 3 ft
1:30.0,Defensive rebound by M. Chriss,,102-127,,
1:24.0,M. Chriss misses 3-pt shot from 22 ft,,102-127,,
1:20.0,,,102-127,,Defensive rebound by H. Ellenson
1:01.0,,,102-129,2,H. Ellenson makes 2-pt shot from 23 ft (assist by L. Galloway)
0:51.0,M. Chriss makes 3-pt shot from 26 ft (assist by M. James),3,105-129,,
0:33.0,,,105-129,,L. Kennard misses 2-pt shot from 5 ft
0:33.0,,,105-129,,Offensive rebound by B. Marjanovic
0:33.0,,,105-129,,Shooting foul by D. Bender (drawn by B. Marjanovic)
0:33.0,,,105-129,,B. Marjanovic misses free throw 1 of 2
0:33.0,,,105-129,,Offensive rebound by Team
0:33.0,,,105-129,,B. Marjanovic misses free throw 2 of 2
0:31.0,Defensive rebound by D. Bender,,105-129,,
0:28.0,M. James makes 2-pt shot from 1 ft,2,107-129,,
0:10.0,Personal foul by M. Chriss (drawn by B. Marjanovic),,107-129,,
0:10.0,,,107-130,1,B. Marjanovic makes free throw 1 of 2
0:10.0,,,107-131,1,B. Marjanovic makes free throw 2 of 2
0:02.0,M. James misses 3-pt shot from 28 ft,,107-131,,
0:02.0,,,107-131,,Defensive rebound by H. Ellenson
