time,LA Clippers,pts.away,score,pts.home,Indiana
0:57.0,Defensive rebound by S. Thornwell,,74-82,,
0:53.0,S. Dekker makes 2-pt shot at rim (assist by L. Williams),2,76-82,,
0:34.0,,,76-82,,C. Joseph misses 2-pt shot from 18 ft
0:31.0,Defensive rebound by S. Thornwell,,76-82,,
0:08.0,L. Williams misses 2-pt shot from 17 ft,,76-82,,
0:04.0,Offensive rebound by S. Dekker,,76-82,,
0:03.0,Turnover by S. Dekker (lost ball; steal by L. Stephenson),,76-82,,
0:00.0,,,76-82,,B. Bogdanovic misses 3-pt shot from 27 ft
0:00.0,,,76-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,S. Dekker misses 2-pt shot from 2 ft,,76-82,,
11:46.0,,,76-82,,Defensive rebound by T. Booker
11:37.0,,,76-84,2,L. Stephenson makes 2-pt shot at rim
11:19.0,,,76-84,,Shooting block foul by L. Stephenson (drawn by S. Thornwell)
11:19.0,S. Thornwell misses free throw 1 of 2,,76-84,,
11:19.0,Offensive rebound by Team,,76-84,,
11:19.0,S. Thornwell misses free throw 2 of 2,,76-84,,
11:17.0,,,76-84,,Defensive rebound by G. Robinson
10:56.0,,,76-84,,C. Joseph misses 3-pt shot from 26 ft
10:52.0,Defensive rebound by M. Harrell,,76-84,,
10:45.0,M. Harrell makes 2-pt shot from 8 ft (assist by J. Evans),2,78-84,,
10:20.0,,,78-84,,L. Stephenson misses 2-pt shot from 2 ft
10:20.0,,,78-84,,Offensive rebound by T. Booker
10:20.0,Loose ball foul by S. Thornwell (drawn by T. Booker),,78-84,,
10:20.0,T. Harris enters the game for S. Dekker,,78-84,,
10:16.0,,,78-86,2,T. Booker makes 2-pt shot from 1 ft (assist by C. Joseph)
10:16.0,,,78-86,,Shooting foul by M. Harrell (drawn by T. Booker)
10:16.0,,,78-87,1,T. Booker makes free throw 1 of 1
10:10.0,,,78-87,,Personal block foul by C. Joseph (drawn by L. Williams)
10:04.0,L. Williams makes 3-pt shot from 25 ft,3,81-87,,
9:40.0,,,81-87,,C. Joseph misses 2-pt shot from 5 ft
9:40.0,Defensive rebound by Team,,81-87,,
9:40.0,,,81-87,,Loose ball foul by T. Booker (drawn by S. Thornwell)
9:40.0,,,81-87,,T. Young enters the game for B. Bogdanovic
9:40.0,A. Rivers enters the game for S. Thornwell,,81-87,,
9:40.0,M. Teodosic enters the game for J. Evans,,81-87,,
9:28.0,,,81-87,,Violation by L. Stephenson (kicked ball)
9:17.0,M. Harrell misses 2-pt shot from 6 ft,,81-87,,
9:14.0,,,81-87,,Defensive rebound by T. Young
8:57.0,,,81-87,,C. Joseph misses 3-pt shot from 25 ft
8:55.0,,,81-87,,Offensive rebound by Team
8:49.0,,,81-87,,L. Stephenson misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by Team,,81-87,,
8:46.0,,,81-87,,Loose ball foul by T. Booker (drawn by M. Harrell)
8:46.0,,,81-87,,V. Oladipo enters the game for T. Booker
8:46.0,,,81-87,,M. Turner enters the game for G. Robinson
8:37.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,83-87,,
8:37.0,Shooting foul by T. Young (drawn by M. Harrell),,83-87,,
8:37.0,M. Harrell makes free throw 1 of 1,1,84-87,,
8:18.0,,,84-87,,V. Oladipo misses 2-pt shot from 7 ft
8:15.0,,,84-87,,Offensive rebound by T. Young
8:15.0,,,84-87,,T. Young misses 2-pt shot at rim
8:13.0,Defensive rebound by L. Williams,,84-87,,
8:07.0,L. Williams makes 2-pt shot from 1 ft,2,86-87,,
8:07.0,,,86-87,,Violation by M. Turner (def goaltending)
8:07.0,,,86-87,,Indiana full timeout
7:56.0,,,86-87,,C. Joseph misses 2-pt shot from 8 ft
7:52.0,Defensive rebound by M. Teodosic,,86-87,,
7:36.0,T. Harris makes 2-pt shot from 7 ft (assist by L. Williams),2,88-87,,
7:08.0,,,88-87,,T. Young misses 2-pt shot from 16 ft
7:06.0,,,88-87,,Offensive rebound by L. Stephenson
7:05.0,,,88-89,2,L. Stephenson makes 2-pt shot from 1 ft
6:43.0,M. Teodosic makes 3-pt shot from 26 ft (assist by T. Harris),3,91-89,,
6:26.0,,,91-92,3,L. Stephenson makes 3-pt shot from 26 ft
5:57.0,L. Williams makes 2-pt shot at rim,2,93-92,,
5:41.0,,,93-92,,Turnover by T. Young (lost ball; steal by L. Williams)
5:38.0,Turnover by L. Williams (bad pass),,93-92,,
5:38.0,,,93-92,,Indiana full timeout
5:38.0,,,93-92,,D. Collison enters the game for L. Stephenson
5:38.0,,,93-92,,B. Bogdanovic enters the game for C. Joseph
5:19.0,,,93-95,3,V. Oladipo makes 3-pt shot from 26 ft
5:01.0,L. Williams makes 3-pt shot from 27 ft (assist by M. Teodosic),3,96-95,,
4:42.0,Loose ball foul by M. Harrell (drawn by V. Oladipo),,96-95,,
4:42.0,D. Jordan enters the game for M. Harrell,,96-95,,
4:32.0,,,96-97,2,B. Bogdanovic makes 2-pt shot from 17 ft (assist by D. Collison)
4:09.0,M. Teodosic misses 3-pt shot from 26 ft,,96-97,,
4:06.0,,,96-97,,Defensive rebound by T. Young
3:58.0,Personal foul by M. Teodosic (drawn by B. Bogdanovic),,96-97,,
3:58.0,M. Harrell enters the game for M. Teodosic,,96-97,,
3:45.0,,,96-97,,V. Oladipo misses 3-pt shot from 26 ft
3:41.0,,,96-97,,Offensive rebound by B. Bogdanovic
3:30.0,,,96-97,,M. Turner misses 2-pt shot from 19 ft
3:28.0,Defensive rebound by T. Harris,,96-97,,
3:28.0,LA Clippers full timeout,,96-97,,
3:09.0,A. Rivers makes 2-pt shot from 1 ft,2,98-97,,
2:45.0,,,98-99,2,D. Collison makes 2-pt shot from 22 ft
2:25.0,Shooting foul by D. Collison (drawn by A. Rivers),,98-99,,
2:25.0,A. Rivers makes free throw 1 of 2,1,99-99,,
2:25.0,A. Rivers makes free throw 2 of 2,1,100-99,,
2:17.0,,,100-99,,Shooting foul by T. Harris (drawn by V. Oladipo)
2:17.0,,,100-99,,V. Oladipo misses free throw 1 of 2
2:17.0,,,100-99,,Offensive rebound by Team
2:17.0,,,100-100,1,V. Oladipo makes free throw 2 of 2
2:01.0,L. Williams misses 2-pt shot from 19 ft,,100-100,,
1:57.0,Offensive rebound by M. Harrell,,100-100,,
1:55.0,M. Harrell makes 2-pt shot at rim,2,102-100,,
