time,Chicago,pts.away,score,pts.home,Golden State
3:57.0,B. Portis misses 2-pt shot from 4 ft (block by K. Looney),,90-132,,
3:57.0,,,90-132,,Defensive rebound by Team
3:53.0,Jump ball: K. Looney vs. B. Portis (N. Young gains possession),,,,Jump ball: K. Looney vs. B. Portis (N. Young gains possession)
3:37.0,,,90-132,,Q. Cook misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by J. Grant,,90-132,,
3:16.0,Shooting foul by K. Looney (drawn by B. Portis),,90-132,,
3:16.0,B. Portis makes free throw 1 of 2,1,91-132,,
3:16.0,,,91-132,,J. McGee enters the game for K. Looney
3:16.0,Q. Pondexter enters the game for C. Felicio,,91-132,,
3:16.0,B. Portis misses free throw 2 of 2,,91-132,,
3:13.0,,,91-132,,Defensive rebound by J. Bell
3:01.0,,,91-135,3,P. McCaw makes 3-pt shot from 25 ft (assist by J. Bell)
2:54.0,K. Felder misses 2-pt shot from 1 ft,,91-135,,
2:49.0,,,91-135,,Defensive rebound by Q. Cook
2:45.0,,,91-138,3,N. Young makes 3-pt shot from 26 ft (assist by Q. Cook)
2:33.0,P. Zipser misses 2-pt shot from 17 ft,,91-138,,
2:30.0,,,91-138,,Defensive rebound by N. Young
2:25.0,,,91-138,,N. Young misses 3-pt shot from 25 ft
2:22.0,Defensive rebound by Team,,91-138,,
2:22.0,C. Felicio enters the game for B. Portis,,91-138,,
2:10.0,K. Felder misses 3-pt shot from 26 ft,,91-138,,
2:07.0,,,91-138,,Defensive rebound by J. Bell
2:01.0,,,91-138,,J. McGee misses 3-pt shot from 24 ft (block by K. Felder)
1:55.0,Defensive rebound by K. Felder,,91-138,,
1:42.0,J. Grant makes 2-pt shot from 2 ft,2,93-138,,
1:42.0,,,93-138,,Violation by J. McGee (def goaltending)
1:42.0,Shooting foul by J. McGee (drawn by J. Grant),,93-138,,
1:42.0,J. Grant makes free throw 1 of 1,1,94-138,,
1:24.0,,,94-140,2,J. McGee makes 2-pt shot from 8 ft (assist by Q. Cook)
1:13.0,Turnover by Q. Pondexter (bad pass; steal by J. Bell),,94-140,,
1:12.0,,,94-142,2,J. Bell makes 2-pt shot from 5 ft
1:12.0,,,94-142,,Shooting foul by P. Zipser (drawn by J. Bell)
1:12.0,,,94-143,1,J. Bell makes free throw 1 of 1
0:58.0,K. Felder misses 2-pt shot from 18 ft,,94-143,,
0:54.0,,,94-143,,Defensive rebound by Team
0:41.0,,,94-143,,J. McGee misses 2-pt shot from 2 ft
0:40.0,,,94-143,,Offensive rebound by Team
0:34.0,,,94-143,,Turnover by N. Young (bad pass; steal by P. Zipser)
0:29.0,Q. Pondexter misses 2-pt shot from 1 ft (block by J. Bell),,94-143,,
0:23.0,,,94-143,,Defensive rebound by J. Bell
0:12.0,,,94-143,,Offensive charge foul by Q. Cook (drawn by K. Felder)
0:12.0,,,94-143,,Turnover by Q. Cook (offensive foul)
0:07.0,P. Zipser misses 3-pt shot from 26 ft,,94-143,,
0:05.0,,,94-143,,Defensive rebound by J. McGee
