time,San Antonio,pts.away,score,pts.home,Philadelphia
0:46.0,,,46-58,,J. Redick misses 2-pt shot from 10 ft
0:43.0,Defensive rebound by L. Aldridge,,46-58,,
0:39.0,Shooting foul by B. Simmons (drawn by P. Mills),,46-58,,
0:39.0,P. Mills makes free throw 1 of 3,1,47-58,,
0:39.0,P. Mills makes free throw 2 of 3,1,48-58,,
0:39.0,P. Mills makes free throw 3 of 3,1,49-58,,
0:30.0,,,49-58,,J. Embiid misses 3-pt shot from 23 ft
0:27.0,,,49-58,,Offensive rebound by T. Booker
0:24.0,,,49-60,2,T. Booker makes 2-pt shot from 2 ft (assist by R. Covington)
0:02.0,K. Anderson misses 2-pt shot from 19 ft,,49-60,,
0:02.0,,,49-60,,Defensive rebound by T. Booker
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,49-60,,Shooting foul by P. Gasol (drawn by J. Embiid)
11:39.0,,,49-60,,J. Embiid misses free throw 1 of 2
11:39.0,,,49-60,,Offensive rebound by Team
11:39.0,,,49-61,1,J. Embiid makes free throw 2 of 2
11:18.0,P. Gasol misses 3-pt shot from 26 ft,,49-61,,
11:14.0,,,49-61,,Defensive rebound by J. Redick
11:05.0,,,49-61,,R. Covington misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by K. Anderson,,49-61,,
10:53.0,L. Aldridge misses 2-pt shot from 17 ft,,49-61,,
10:50.0,,,49-61,,Defensive rebound by J. Embiid
10:42.0,,,49-63,2,B. Simmons makes 2-pt shot from 1 ft
10:41.0,San Antonio full timeout,,49-63,,
10:30.0,Turnover by P. Gasol (bad pass; steal by B. Simmons),,49-63,,
10:20.0,,,49-65,2,B. Simmons makes 2-pt shot from 2 ft (assist by J. Redick)
9:59.0,B. Forbes makes 3-pt shot from 27 ft,3,52-65,,
9:44.0,,,52-65,,Turnover by J. Embiid (palming)
9:19.0,B. Forbes makes 2-pt shot at rim,2,54-65,,
9:13.0,,,54-65,,Turnover by J. Redick (traveling)
8:57.0,Turnover by L. Aldridge (bad pass; steal by R. Covington),,54-65,,
8:49.0,,,54-65,,B. Simmons misses 2-pt shot from 4 ft
8:46.0,,,54-65,,Offensive rebound by D. Saric
8:37.0,,,54-65,,Shooting foul by D. Murray (drawn by D. Saric)
8:37.0,,,54-65,,D. Saric misses free throw 1 of 2
8:37.0,,,54-65,,Offensive rebound by Team
