time,Oklahoma City,pts.away,score,pts.home,LA Lakers
9:06.0,,,71-51,,Defensive rebound by J. Randle
9:02.0,,,71-51,,K. Caldwell-Pope misses 2-pt shot from 13 ft
8:57.0,Defensive rebound by C. Anthony,,71-51,,
8:49.0,Offensive rebound by Team,,71-51,,
8:49.0,R. Westbrook misses 2-pt shot from 2 ft,,71-51,,
8:47.0,,,71-51,,Personal foul by T. Ennis (drawn by S. Adams)
8:47.0,Oklahoma City full timeout,,71-51,,
8:42.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,73-51,,
8:16.0,,,73-54,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by K. Kuzma)
7:57.0,R. Westbrook misses 2-pt shot from 16 ft,,73-54,,
7:57.0,,,73-54,,Defensive rebound by J. Randle
7:56.0,Personal block foul by P. George (drawn by J. Randle),,73-54,,
7:51.0,,,73-54,,K. Kuzma misses 3-pt shot from 27 ft
7:51.0,Defensive rebound by C. Anthony,,73-54,,
7:40.0,P. George misses 3-pt shot from 24 ft,,73-54,,
7:37.0,Offensive rebound by C. Anthony,,73-54,,
7:32.0,R. Westbrook makes 2-pt shot from 2 ft (assist by P. George),2,75-54,,
7:19.0,,,75-56,2,K. Kuzma makes 2-pt shot from 1 ft (assist by T. Ennis)
7:00.0,Offensive foul by C. Anthony (drawn by K. Caldwell-Pope),,75-56,,
7:00.0,Turnover by C. Anthony (offensive foul),,75-56,,
6:38.0,,,75-56,,Turnover by J. Randle (lost ball; steal by C. Anthony)
6:31.0,R. Westbrook makes 2-pt shot from 2 ft,2,77-56,,
6:23.0,,,77-58,2,T. Ennis makes 2-pt shot from 1 ft
6:07.0,T. Ferguson misses 3-pt shot from 23 ft,,77-58,,
6:04.0,,,77-58,,Defensive rebound by K. Caldwell-Pope
5:58.0,,,77-58,,K. Kuzma misses 2-pt shot from 2 ft
5:55.0,Defensive rebound by S. Adams,,77-58,,
5:47.0,P. George makes 2-pt shot from 17 ft,2,79-58,,
5:31.0,,,79-60,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by B. Ingram)
5:16.0,,,79-60,,Personal foul by K. Caldwell-Pope (drawn by R. Westbrook)
5:16.0,J. Huestis enters the game for P. George,,79-60,,
5:05.0,,,79-60,,Personal foul by K. Kuzma (drawn by C. Anthony)
5:05.0,,,79-60,,B. Lopez enters the game for J. Randle
4:57.0,C. Anthony misses 2-pt shot from 16 ft,,79-60,,
4:56.0,Offensive rebound by S. Adams,,79-60,,
4:56.0,S. Adams makes 2-pt shot at rim,2,81-60,,
4:42.0,Personal foul by S. Adams (drawn by B. Lopez),,81-60,,
4:42.0,,,81-60,,J. Clarkson enters the game for T. Ennis
4:39.0,,,81-60,,B. Ingram misses 2-pt shot from 15 ft
4:38.0,,,81-60,,Offensive rebound by B. Lopez
4:35.0,,,81-60,,B. Lopez misses 2-pt shot at rim
4:34.0,,,81-60,,Offensive rebound by B. Lopez
4:34.0,,,81-62,2,B. Lopez makes 2-pt shot at rim
4:18.0,T. Ferguson makes 3-pt shot from 26 ft (assist by C. Anthony),3,84-62,,
4:07.0,,,84-62,,B. Lopez misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by J. Huestis,,84-62,,
3:58.0,R. Westbrook makes 2-pt shot at rim,2,86-62,,
3:51.0,,,86-62,,LA Lakers full timeout
3:49.0,Personal foul by J. Huestis (drawn by B. Ingram),,86-62,,
3:39.0,,,86-65,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Clarkson)
3:23.0,R. Westbrook misses 2-pt shot from 1 ft,,86-62,,
3:19.0,,,86-62,,Defensive rebound by B. Lopez
3:07.0,,,86-62,,J. Clarkson misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by R. Westbrook,,86-62,,
2:57.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,88-65,,
2:40.0,,,88-65,,B. Lopez misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by R. Westbrook,,88-65,,
2:34.0,J. Grant enters the game for R. Westbrook,,88-65,,
2:34.0,R. Felton enters the game for C. Anthony,,88-65,,
2:06.0,J. Grant makes 2-pt shot from 2 ft (assist by R. Felton),2,90-65,,
1:56.0,,,90-65,,K. Kuzma misses 2-pt shot from 17 ft
1:53.0,Defensive rebound by R. Felton,,90-65,,
1:39.0,T. Ferguson makes 3-pt shot from 25 ft (assist by J. Grant),3,93-65,,
1:27.0,Personal foul by S. Adams (drawn by B. Lopez),,93-65,,
1:27.0,,,93-65,,L. Nance enters the game for K. Kuzma
1:27.0,,,93-65,,J. Hart enters the game for K. Caldwell-Pope
1:27.0,P. Patterson enters the game for S. Adams,,93-65,,
1:11.0,,,93-65,,B. Lopez misses 2-pt shot from 8 ft
1:07.0,,,93-65,,Offensive rebound by B. Ingram
1:06.0,,,93-67,2,B. Ingram makes 2-pt shot from 1 ft
0:54.0,R. Felton misses 2-pt shot from 19 ft,,93-67,,
0:52.0,,,93-67,,Defensive rebound by B. Ingram
0:42.0,Personal foul by J. Huestis (drawn by B. Ingram),,93-67,,
0:42.0,,,93-67,,B. Ingram misses free throw 1 of 2
0:42.0,,,93-67,,Offensive rebound by Team
0:42.0,,,93-68,1,B. Ingram makes free throw 2 of 2
0:37.0,Turnover by R. Felton (bad pass; steal by L. Nance),,93-68,,
0:34.0,,,93-70,2,L. Nance makes 2-pt shot from 1 ft
0:15.0,T. Ferguson makes 3-pt shot from 23 ft (assist by R. Felton),3,96-70,,
0:01.0,,,96-70,,J. Clarkson misses 3-pt shot from 25 ft
0:00.0,,,96-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,96-70,,L. Nance misses 2-pt shot from 4 ft
11:35.0,Defensive rebound by T. Ferguson,,96-70,,
11:15.0,J. Huestis makes 2-pt shot from 1 ft (assist by R. Felton),2,98-70,,
10:47.0,,,98-72,2,J. Clarkson makes 2-pt shot from 10 ft
10:32.0,J. Grant makes 2-pt shot from 13 ft (assist by R. Felton),2,100-72,,
10:19.0,,,100-75,3,J. Clarkson makes 3-pt shot from 25 ft (assist by L. Nance)
9:50.0,P. Patterson makes 2-pt shot from 1 ft (assist by R. Felton),2,102-75,,
9:38.0,,,102-75,,B. Lopez misses 3-pt shot from 26 ft
9:34.0,,,102-75,,Offensive rebound by L. Nance
9:31.0,,,102-75,,J. Clarkson misses 3-pt shot from 27 ft
9:31.0,Defensive rebound by J. Huestis,,102-75,,
9:31.0,Oklahoma City full timeout,,102-75,,
9:31.0,P. George enters the game for T. Ferguson,,102-75,,
9:08.0,P. George misses 3-pt shot from 26 ft,,102-75,,
