time,Cleveland,pts.away,score,pts.home,Phoenix
7:54.0,J. Smith misses 2-pt shot from 1 ft,,111-89,,
7:54.0,,,111-89,,Defensive rebound by E. Payton
7:54.0,,,111-89,,J. Jackson misses 2-pt shot from 1 ft
7:53.0,,,111-89,,Offensive rebound by T. Warren
7:52.0,,,111-89,,T. Warren misses 2-pt shot at rim
7:52.0,Defensive rebound by J. Green,,111-89,,
7:52.0,,,111-89,,Loose ball foul by J. Jackson (drawn by J. Green)
7:52.0,,,111-89,,D. Booker enters the game for J. Dudley
7:52.0,,,111-89,,D. Bender enters the game for T. Daniels
7:37.0,Turnover by J. Clarkson (bad pass; steal by J. Jackson),,111-89,,
7:31.0,,,111-89,,Shooting foul by J. Holland (drawn by E. Payton)
7:31.0,,,111-89,,E. Payton misses free throw 1 of 2
7:31.0,A. Zizic enters the game for J. Green,,111-89,,
7:31.0,,,111-89,,Defensive rebound by Team
7:31.0,,,111-90,1,E. Payton makes free throw 2 of 2
7:11.0,A. Zizic makes 2-pt shot from 8 ft,2,113-90,,
6:58.0,,,113-90,,D. Booker misses 2-pt shot from 7 ft
6:55.0,,,113-90,,Offensive rebound by D. Booker
6:55.0,,,113-90,,D. Booker misses 2-pt shot from 1 ft (block by A. Zizic)
6:51.0,Defensive rebound by A. Zizic,,113-90,,
6:40.0,J. Clarkson misses 3-pt shot from 25 ft,,113-90,,
6:36.0,,,113-90,,Defensive rebound by T. Warren
6:23.0,,,113-90,,E. Payton misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by A. Zizic,,113-90,,
6:13.0,Shooting foul by D. Bender (drawn by J. Clarkson),,113-90,,
6:13.0,,,113-90,,Phoenix full timeout
6:13.0,,,113-90,,D. Reed enters the game for D. Booker
6:13.0,,,113-90,,S. Harrison enters the game for E. Payton
6:13.0,L. Perrantes enters the game for J. Smith,,113-90,,
6:13.0,J. Clarkson misses free throw 1 of 2,,113-90,,
6:13.0,Offensive rebound by Team,,113-90,,
6:13.0,J. Clarkson makes free throw 2 of 2,1,114-90,,
5:52.0,,,114-93,3,D. Bender makes 3-pt shot from 24 ft (assist by J. Jackson)
5:35.0,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Calderon),3,117-93,,
5:10.0,,,117-93,,D. Reed misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by L. Perrantes,,117-93,,
4:47.0,J. Clarkson misses 2-pt shot from 21 ft,,117-93,,
4:43.0,,,117-93,,Defensive rebound by S. Harrison
4:39.0,,,117-95,2,S. Harrison makes 2-pt shot from 1 ft
4:22.0,L. Perrantes makes 2-pt shot at rim (assist by J. Calderon),2,119-95,,
4:07.0,,,119-95,,Shooting foul by A. Zizic (drawn by S. Harrison)
4:07.0,,,119-96,1,S. Harrison makes free throw 1 of 2
4:07.0,,,119-96,,M. Chriss enters the game for T. Warren
4:07.0,,,119-97,1,S. Harrison makes free throw 2 of 2
3:45.0,J. Holland misses 3-pt shot from 23 ft,,119-97,,
3:42.0,,,119-97,,Defensive rebound by D. Reed
3:33.0,,,119-99,2,S. Harrison makes 2-pt shot from 1 ft (assist by D. Bender)
3:10.0,Turnover by A. Zizic (bad pass),,119-99,,
3:05.0,,,119-101,2,S. Harrison makes 2-pt shot at rim
2:51.0,J. Clarkson makes 3-pt shot from 25 ft,3,122-101,,
2:39.0,,,122-101,,D. Reed misses 3-pt shot from 24 ft
2:38.0,,,122-101,,Offensive rebound by Team
2:38.0,Loose ball foul by L. Perrantes (drawn by D. Bender),,122-101,,
2:38.0,Cleveland full timeout,,122-101,,
2:38.0,,,122-101,,T. Ulis enters the game for J. Jackson
2:38.0,,,122-102,1,D. Bender makes free throw 1 of 2
2:38.0,,,122-103,1,D. Bender makes free throw 2 of 2
2:27.0,J. Calderon makes 2-pt shot from 16 ft (assist by A. Zizic),2,124-103,,
2:13.0,,,124-105,2,S. Harrison makes 2-pt shot at rim
1:52.0,Turnover by A. Zizic (bad pass; steal by T. Ulis),,124-105,,
1:50.0,,,124-105,,Turnover by T. Ulis (bad pass)
1:41.0,Offensive foul by A. Zizic (drawn by S. Harrison),,124-105,,
1:41.0,Turnover by A. Zizic (offensive foul),,124-105,,
1:31.0,,,124-105,,M. Chriss misses 2-pt shot from 7 ft
1:28.0,Defensive rebound by A. Zizic,,124-105,,
1:09.0,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Calderon),3,127-105,,
0:57.0,,,127-105,,Turnover by M. Chriss (bad pass; steal by J. Calderon)
0:41.0,A. Zizic makes 2-pt shot at rim (assist by J. Calderon),2,129-105,,
0:24.0,,,129-107,2,D. Reed makes 2-pt shot at rim (assist by D. Bender)
0:00.0,Turnover by Team (shot clock),,129-107,,
0:00.0,,,129-107,,T. Ulis misses 3-pt shot from 25 ft
0:00.0,,,129-107,,Offensive rebound by Team
