time,New York,pts.away,score,pts.home,LA Lakers
1:50.0,Offensive rebound by E. Kanter,,103-120,,
1:50.0,E. Kanter makes 2-pt shot at rim,2,105-120,,
1:32.0,,,105-122,2,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson)
1:18.0,Turnover by J. Jack (bad pass; steal by L. Nance),,105-122,,
1:17.0,,,105-124,2,L. Nance makes 2-pt shot from 1 ft (assist by J. Randle)
1:01.0,Offensive charge foul by E. Kanter (drawn by J. Randle),,105-124,,
1:01.0,Turnover by E. Kanter (offensive foul),,105-124,,
1:01.0,,,105-124,,T. Bryant enters the game for J. Clarkson
1:01.0,,,105-124,,I. Zubac enters the game for L. Nance
1:01.0,,,105-124,,N. Hayes enters the game for J. Randle
1:01.0,W. Hernangomez enters the game for E. Kanter,,105-124,,
1:01.0,K. O'Quinn enters the game for C. Lee,,105-124,,
1:01.0,F. Ntilikina enters the game for K. Porzingis,,105-124,,
1:01.0,R. Baker enters the game for J. Jack,,105-124,,
1:00.0,,,105-124,,J. Hart enters the game for B. Ingram
0:45.0,,,105-127,3,T. Bryant makes 3-pt shot from 26 ft (assist by A. Caruso)
0:35.0,K. O'Quinn makes 2-pt shot from 13 ft (assist by D. McDermott),2,107-127,,
0:15.0,,,107-127,,Turnover by I. Zubac (lost ball; steal by K. O'Quinn)
0:11.0,Turnover by K. O'Quinn (bad pass; steal by A. Caruso),,107-127,,
