time,Chicago,pts.away,score,pts.home,Boston
1:38.0,Offensive rebound by C. Payne,,53-49,,
1:34.0,Turnover by J. Holiday (lost ball; steal by T. Rozier),,53-49,,
1:30.0,,,53-49,,Turnover by J. Bird (lost ball; steal by J. Grant)
1:22.0,L. Markkanen makes 3-pt shot from 27 ft (assist by J. Grant),3,56-49,,
1:00.0,B. Portis enters the game for L. Markkanen,,56-49,,
0:54.0,,,56-51,2,M. Morris makes 2-pt shot from 20 ft
0:30.0,Turnover by O. Asik (bad pass; steal by J. Bird),,56-51,,
0:17.0,,,56-53,2,J. Bird makes 2-pt shot at rim (assist by T. Rozier)
0:17.0,,,56-53,,Shooting foul by O. Asik (drawn by J. Bird)
0:17.0,,,56-53,,A. Baynes enters the game for G. Monroe
0:17.0,L. Markkanen enters the game for O. Asik,,56-53,,
0:17.0,,,56-53,,J. Bird misses free throw 1 of 1
0:17.0,Defensive rebound by J. Grant,,56-53,,
0:03.0,J. Grant makes 2-pt shot from 2 ft,2,58-53,,
0:00.0,,,58-55,2,M. Morris makes 2-pt shot from 21 ft (assist by A. Baynes)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,Turnover by L. Markkanen (bad pass; steal by M. Morris),,58-55,,
11:34.0,,,58-57,2,G. Yabusele makes 2-pt shot from 2 ft (assist by M. Morris)
11:25.0,D. Nwaba misses 2-pt shot from 6 ft (block by T. Rozier),,58-57,,
11:25.0,,,58-57,,Defensive rebound by T. Rozier
11:21.0,,,58-57,,Shooting foul by J. Holiday (drawn by J. Brown)
11:21.0,,,58-57,,J. Brown misses free throw 1 of 2
11:21.0,,,58-57,,Offensive rebound by Team
11:21.0,,,58-57,,J. Brown misses free throw 2 of 2
11:14.0,Defensive rebound by C. Payne,,58-57,,
10:54.0,C. Payne misses 2-pt shot from 3 ft (block by A. Baynes),,58-57,,
10:51.0,,,58-57,,Defensive rebound by G. Yabusele
10:43.0,,,58-60,3,J. Brown makes 3-pt shot from 24 ft (assist by G. Yabusele)
10:25.0,Shooting foul by A. Baynes (drawn by L. Markkanen),,58-60,,
10:25.0,L. Markkanen makes free throw 1 of 2,1,59-60,,
10:25.0,L. Markkanen makes free throw 2 of 2,1,60-60,,
10:11.0,,,60-62,2,M. Morris makes 2-pt shot from 2 ft
10:02.0,J. Holiday misses 3-pt shot from 22 ft,,60-62,,
10:00.0,,,60-62,,Defensive rebound by T. Rozier
9:53.0,,,60-62,,Shooting foul by C. Payne (drawn by J. Brown)
9:53.0,,,60-63,1,J. Brown makes free throw 1 of 2
9:53.0,,,60-64,1,J. Brown makes free throw 2 of 2
9:40.0,C. Payne misses 3-pt shot from 26 ft,,60-64,,
9:39.0,,,60-64,,Defensive rebound by Team
9:19.0,,,60-64,,M. Morris misses 2-pt shot from 7 ft
9:15.0,Defensive rebound by C. Felicio,,60-64,,
9:05.0,D. Nwaba makes 2-pt shot from 8 ft,2,62-64,,
8:50.0,,,62-66,2,M. Morris makes 2-pt shot from 1 ft (assist by A. Baynes)
8:39.0,C. Payne makes 3-pt shot from 24 ft (assist by L. Markkanen),3,65-66,,
8:27.0,,,65-69,3,J. Brown makes 3-pt shot from 28 ft (assist by A. Baynes)
8:09.0,L. Markkanen misses 3-pt shot from 25 ft,,65-69,,
8:06.0,,,65-69,,Defensive rebound by A. Baynes
7:57.0,,,65-69,,Turnover by J. Brown (lost ball; steal by C. Felicio)
7:52.0,L. Markkanen makes 2-pt shot at rim (assist by C. Payne),2,67-69,,
7:36.0,,,67-69,,J. Brown misses 2-pt shot from 16 ft
7:32.0,,,67-69,,Offensive rebound by T. Rozier
7:26.0,,,67-69,,G. Yabusele misses 2-pt shot from 5 ft
7:23.0,Defensive rebound by J. Holiday,,67-69,,
7:15.0,D. Nwaba misses 3-pt shot from 23 ft,,67-69,,
7:13.0,,,67-69,,Defensive rebound by A. Baynes
7:09.0,,,67-69,,Boston full timeout
7:00.0,,,67-69,,M. Morris misses 3-pt shot from 26 ft
6:57.0,Defensive rebound by L. Markkanen,,67-69,,
6:49.0,L. Markkanen misses 2-pt shot from 6 ft,,67-69,,
6:47.0,,,67-69,,Defensive rebound by J. Brown
6:34.0,,,67-69,,J. Brown misses 3-pt shot from 28 ft
6:33.0,Defensive rebound by J. Holiday,,67-69,,
6:16.0,Turnover by L. Markkanen (lost ball; steal by M. Morris),,67-69,,
6:04.0,,,67-69,,T. Rozier misses 3-pt shot from 26 ft
6:02.0,Defensive rebound by J. Holiday,,67-69,,
5:54.0,C. Payne makes 3-pt shot from 23 ft (assist by L. Markkanen),3,70-69,,
5:33.0,,,70-69,,G. Yabusele misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by J. Holiday,,70-69,,
5:23.0,Turnover by L. Markkanen (bad pass),,70-69,,
5:03.0,,,70-72,3,T. Rozier makes 3-pt shot from 25 ft
4:49.0,Turnover by J. Holiday (out of bounds lost ball),,70-72,,
4:49.0,,,70-72,,G. Monroe enters the game for A. Baynes
4:26.0,,,70-72,,M. Morris misses 3-pt shot from 26 ft
4:23.0,Defensive rebound by J. Holiday,,70-72,,
4:16.0,J. Holiday misses 2-pt shot from 20 ft,,70-72,,
4:14.0,,,70-72,,Defensive rebound by M. Morris
4:07.0,,,70-72,,J. Brown misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by J. Holiday,,70-72,,
3:59.0,L. Markkanen makes 2-pt shot from 4 ft,2,72-72,,
3:42.0,,,72-72,,T. Rozier misses 3-pt shot from 22 ft
3:40.0,,,72-72,,Offensive rebound by G. Monroe
3:31.0,,,72-72,,G. Yabusele misses 3-pt shot from 26 ft
3:30.0,,,72-72,,Offensive rebound by G. Monroe
3:29.0,,,72-74,2,G. Monroe makes 2-pt shot from 1 ft
3:28.0,Chicago full timeout,,72-74,,
3:28.0,,,72-74,,J. Bird enters the game for J. Brown
3:28.0,,,72-74,,S. Ojeleye enters the game for G. Yabusele
3:28.0,O. Asik enters the game for C. Felicio,,72-74,,
3:28.0,B. Portis enters the game for J. Holiday,,72-74,,
3:28.0,S. Kilpatrick enters the game for L. Markkanen,,72-74,,
3:08.0,S. Kilpatrick misses 3-pt shot from 25 ft,,72-74,,
3:05.0,,,72-74,,Defensive rebound by T. Rozier
2:50.0,,,72-74,,Shooting foul by D. Nwaba (drawn by M. Morris)
2:50.0,,,72-74,,M. Morris misses free throw 1 of 2
2:50.0,,,72-74,,Offensive rebound by Team
2:50.0,R. Arcidiacono enters the game for D. Nwaba,,72-74,,
2:50.0,J. Grant enters the game for C. Payne,,72-74,,
2:50.0,,,72-74,,M. Morris misses free throw 2 of 2
2:50.0,Defensive rebound by B. Portis,,72-74,,
2:31.0,J. Grant misses 3-pt shot from 28 ft,,72-74,,
2:29.0,,,72-74,,Defensive rebound by S. Ojeleye
2:21.0,,,72-74,,Turnover by T. Rozier (bad pass)
2:16.0,,,72-74,,Personal foul by S. Ojeleye (drawn by R. Arcidiacono)
2:16.0,,,72-74,,S. Larkin enters the game for T. Rozier
2:06.0,B. Portis makes 2-pt shot from 12 ft,2,74-74,,
1:44.0,Personal foul by B. Portis (drawn by S. Larkin),,74-74,,
1:44.0,,,74-74,,G. Yabusele enters the game for M. Morris
1:44.0,D. Nwaba enters the game for B. Portis,,74-74,,
1:37.0,,,74-74,,Turnover by S. Larkin (bad pass; steal by J. Grant)
1:29.0,D. Nwaba misses 2-pt shot from 1 ft,,74-74,,
1:28.0,,,74-74,,Defensive rebound by G. Yabusele
1:11.0,,,74-76,2,G. Monroe makes 2-pt shot from 1 ft
0:52.0,Turnover by D. Nwaba (bad pass; steal by S. Ojeleye),,74-76,,
0:39.0,,,74-78,2,G. Monroe makes 2-pt shot at rim (assist by S. Larkin)
0:39.0,,,74-78,,Shooting foul by O. Asik (drawn by G. Monroe)
0:39.0,,,74-79,1,G. Monroe makes free throw 1 of 1
0:33.0,J. Grant makes 2-pt shot at rim,2,76-79,,
0:33.0,Shooting foul by G. Monroe (drawn by J. Grant),,76-79,,
0:33.0,J. Grant misses free throw 1 of 1,,76-79,,
0:33.0,,,76-79,,Defensive rebound by G. Yabusele
0:20.0,,,76-79,,Turnover by J. Bird (lost ball; steal by J. Grant)
0:05.0,J. Grant misses 2-pt shot from 11 ft,,76-79,,
0:01.0,,,76-79,,Defensive rebound by S. Larkin
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,76-81,2,S. Ojeleye makes 2-pt shot from 1 ft (assist by J. Bird)
11:22.0,J. Grant makes 2-pt shot from 15 ft,2,78-81,,
11:09.0,,,78-81,,Turnover by S. Larkin (turnover)
10:57.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by J. Grant),3,81-81,,
10:44.0,,,81-84,3,J. Gibson makes 3-pt shot from 26 ft (assist by G. Monroe)
10:26.0,,,81-84,,Personal foul by J. Gibson (drawn by D. Nwaba)
10:11.0,S. Kilpatrick makes 3-pt shot from 23 ft (assist by J. Grant),3,84-84,,
9:55.0,,,84-84,,S. Ojeleye misses 3-pt shot from 27 ft
9:51.0,,,84-84,,Offensive rebound by G. Monroe
9:40.0,,,84-84,,S. Larkin misses 3-pt shot from 27 ft
9:37.0,Defensive rebound by O. Asik,,84-84,,
9:30.0,O. Asik makes 2-pt shot at rim (assist by R. Arcidiacono),2,86-84,,
9:30.0,Shooting foul by J. Gibson (drawn by O. Asik),,86-84,,
9:30.0,O. Asik misses free throw 1 of 1,,86-84,,
9:30.0,,,86-84,,Defensive rebound by G. Monroe
9:18.0,,,86-86,2,J. Bird makes 2-pt shot at rim (assist by J. Gibson)
9:03.0,Turnover by R. Arcidiacono (bad pass; steal by G. Monroe),,86-86,,
8:57.0,,,86-89,3,J. Gibson makes 3-pt shot from 27 ft (assist by G. Monroe)
8:53.0,Chicago full timeout,,86-89,,
8:53.0,C. Felicio enters the game for O. Asik,,86-89,,
8:44.0,D. Nwaba misses 2-pt shot from 8 ft,,86-89,,
8:42.0,,,86-89,,Defensive rebound by J. Gibson
8:27.0,,,86-89,,J. Gibson misses 2-pt shot from 2 ft
8:25.0,Defensive rebound by D. Nwaba,,86-89,,
8:19.0,D. Nwaba makes 2-pt shot from 5 ft (assist by J. Grant),2,88-89,,
8:01.0,,,88-92,3,S. Ojeleye makes 3-pt shot from 23 ft (assist by J. Gibson)
7:46.0,D. Nwaba makes 2-pt shot at rim (assist by J. Grant),2,90-92,,
7:30.0,,,90-95,3,J. Gibson makes 3-pt shot from 25 ft (assist by G. Monroe)
7:08.0,R. Arcidiacono misses 3-pt shot from 24 ft,,90-95,,
7:04.0,,,90-95,,Defensive rebound by S. Ojeleye
6:59.0,Personal foul by J. Grant (drawn by J. Gibson),,90-95,,
6:51.0,,,90-95,,Turnover by G. Monroe (bad pass; steal by J. Grant)
6:48.0,,,90-95,,Personal foul by S. Larkin (drawn by C. Felicio)
6:41.0,D. Nwaba misses 3-pt shot from 24 ft,,90-95,,
6:37.0,,,90-95,,Defensive rebound by J. Bird
6:25.0,,,90-95,,J. Gibson misses 3-pt shot from 26 ft
6:22.0,Defensive rebound by D. Nwaba,,90-95,,
6:14.0,J. Grant misses 2-pt shot from 8 ft (block by G. Monroe),,90-95,,
6:10.0,,,90-95,,Defensive rebound by G. Monroe
6:06.0,,,90-95,,Turnover by G. Monroe (lost ball; steal by C. Felicio)
6:00.0,Turnover by R. Arcidiacono (out of bounds lost ball),,90-95,,
6:00.0,,,90-95,,J. Brown enters the game for J. Bird
6:00.0,J. Holiday enters the game for D. Nwaba,,90-95,,
5:36.0,,,90-97,2,G. Monroe makes 2-pt shot from 6 ft (assist by S. Larkin)
5:25.0,J. Grant misses 2-pt shot from 2 ft,,90-97,,
5:22.0,,,90-97,,Defensive rebound by G. Monroe
5:10.0,,,90-99,2,G. Monroe makes 2-pt shot from 1 ft (assist by S. Larkin)
5:09.0,Chicago full timeout,,90-99,,
4:58.0,Offensive foul by C. Felicio (drawn by J. Gibson),,90-99,,
4:58.0,Turnover by C. Felicio (offensive foul),,90-99,,
4:36.0,,,90-99,,Turnover by G. Monroe (bad pass; steal by C. Felicio)
4:26.0,J. Holiday misses 2-pt shot from 8 ft,,90-99,,
4:23.0,,,90-99,,Defensive rebound by G. Monroe
4:10.0,,,90-99,,Turnover by J. Brown (lost ball; steal by J. Holiday)
4:07.0,J. Grant makes 2-pt shot from 1 ft (assist by J. Holiday),2,92-99,,
3:46.0,,,92-102,3,J. Brown makes 3-pt shot from 25 ft (assist by G. Monroe)
3:27.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by J. Grant),3,95-102,,
3:13.0,,,95-102,,J. Gibson misses 3-pt shot from 26 ft
3:10.0,Defensive rebound by S. Kilpatrick,,95-102,,
3:02.0,R. Arcidiacono makes 3-pt shot from 22 ft (assist by C. Felicio),3,98-102,,
2:39.0,Personal foul by J. Holiday (drawn by G. Monroe),,98-102,,
2:39.0,,,98-102,,J. Bird enters the game for J. Gibson
2:28.0,,,98-102,,Turnover by S. Larkin (lost ball; steal by J. Holiday)
2:23.0,S. Kilpatrick misses 2-pt shot from 2 ft (block by J. Bird),,98-102,,
