time,Washington,pts.away,score,pts.home,Cleveland
0:08.0,J. Wall misses 2-pt shot from 8 ft,,115-116,,
0:08.0,,,115-116,,Defensive rebound by L. James
0:08.0,Personal foul by M. Gortat (drawn by L. James),,115-116,,
0:08.0,,,115-116,,L. James misses free throw 1 of 2
0:08.0,,,115-116,,Offensive rebound by Team
0:08.0,,,115-117,1,L. James makes free throw 2 of 2
0:02.0,Turnover by J. Wall (bad pass; steal by C. Osman),,115-117,,
0:02.0,Personal foul by M. Morris (drawn by C. Osman),,115-117,,
0:02.0,,,115-118,1,C. Osman makes free throw 1 of 2
0:02.0,,,115-119,1,C. Osman makes free throw 2 of 2
0:00.0,B. Beal misses 3-pt shot from 25 ft,,115-119,,
0:00.0,Offensive rebound by Team,,115-119,,
