time,Charlotte,pts.away,score,pts.home,Utah
2:38.0,T. Graham enters the game for K. Walker,,88-101,,
2:11.0,M. Monk makes 3-pt shot from 24 ft (assist by T. Graham),3,91-101,,
1:57.0,,,91-101,,Turnover by J. Ingles (step out of bounds)
1:35.0,M. Monk misses 2-pt shot from 9 ft,,91-101,,
1:33.0,,,91-101,,Defensive rebound by R. Gobert
1:21.0,,,91-101,,D. Mitchell misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by T. Graham,,91-101,,
1:15.0,M. Monk misses 3-pt shot from 26 ft,,91-101,,
1:12.0,,,91-101,,Defensive rebound by R. O'Neale
0:52.0,,,91-103,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell)
0:52.0,,,91-103,,Shooting foul by J. Stone (drawn by R. Gobert)
0:52.0,,,91-103,,R. Neto enters the game for J. Ingles
0:52.0,,,91-103,,G. Niang enters the game for D. Favors
0:52.0,,,91-103,,E. McCree enters the game for D. Mitchell
0:52.0,,,91-104,1,R. Gobert makes free throw 1 of 1
0:52.0,,,91-104,,Personal foul by R. Neto (drawn by J. Stone)
0:52.0,,,91-104,,E. Udoh enters the game for R. Gobert
0:36.0,F. Kaminsky makes 2-pt shot from 6 ft,2,93-104,,
0:36.0,Shooting foul by E. Udoh (drawn by F. Kaminsky),,93-104,,
0:36.0,F. Kaminsky makes free throw 1 of 1,1,94-104,,
0:17.0,,,94-106,2,E. Udoh makes 2-pt shot from 7 ft (assist by R. Neto)
0:01.0,Turnover by D. Bacon (bad pass; steal by R. Neto),,94-106,,
