time,Milwaukee,pts.away,score,pts.home,Miami
3:27.0,K. Middleton makes free throw 2 of 2,1,77-90,,
3:08.0,,,77-90,,W. Ellington misses 3-pt shot from 24 ft
3:08.0,Defensive rebound by Team,,77-90,,
2:57.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,79-90,,
2:35.0,,,79-93,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson)
2:22.0,K. Middleton misses 3-pt shot from 25 ft,,79-93,,
2:20.0,,,79-93,,Defensive rebound by B. Adebayo
2:10.0,,,79-93,,Shooting foul by M. Brogdon (drawn by B. Adebayo)
2:10.0,,,79-94,1,B. Adebayo makes free throw 1 of 2
2:10.0,,,79-94,,J. Richardson enters the game for W. Ellington
2:10.0,D. Wilson enters the game for K. Middleton,,79-94,,
2:10.0,S. Kilpatrick enters the game for G. Antetokounmpo,,79-94,,
2:10.0,,,79-95,1,B. Adebayo makes free throw 2 of 2
2:03.0,Turnover by S. Kilpatrick (bad pass; steal by G. Dragic),,79-95,,
1:40.0,,,79-97,2,J. Johnson makes 2-pt shot from 19 ft
1:31.0,Turnover by M. Brogdon (lost ball; steal by J. Johnson),,79-97,,
1:27.0,,,79-97,,Turnover by J. Johnson (bad pass; steal by S. Brown)
1:23.0,M. Brogdon misses 3-pt shot from 25 ft,,79-97,,
1:18.0,,,79-97,,Defensive rebound by T. Johnson
1:01.0,,,79-97,,Turnover by B. Adebayo (lost ball; steal by D. Wilson)
0:55.0,S. Brown misses 2-pt shot from 4 ft (block by J. Richardson),,79-97,,
0:51.0,,,79-97,,Defensive rebound by J. Johnson
0:47.0,,,79-97,,G. Dragic misses 2-pt shot from 23 ft
0:43.0,Defensive rebound by E. Bledsoe,,79-97,,
0:40.0,E. Bledsoe misses 3-pt shot from 25 ft,,79-97,,
0:35.0,,,79-97,,Defensive rebound by J. Richardson
0:14.0,,,79-97,,Turnover by Team (shot clock)
0:08.0,S. Brown misses 3-pt shot from 24 ft,,79-97,,
0:05.0,,,79-97,,Defensive rebound by J. Johnson
