time,Memphis,pts.away,score,pts.home,Brooklyn
5:41.0,,,101-102,,R. Hollis-Jefferson misses 2-pt shot at rim
5:39.0,Defensive rebound by D. Davis,,101-102,,
5:34.0,A. Harrison misses 3-pt shot from 25 ft,,101-102,,
5:30.0,,,101-102,,Defensive rebound by A. Crabbe
5:18.0,W. Selden enters the game for D. Brooks,,101-102,,
5:08.0,,,101-102,,D. Russell misses 3-pt shot from 24 ft
5:05.0,,,101-102,,Offensive rebound by Team
5:05.0,Loose ball foul by W. Selden (drawn by A. Crabbe),,101-102,,
5:00.0,,,101-105,3,A. Crabbe makes 3-pt shot from 24 ft (assist by C. LeVert)
4:36.0,Turnover by B. Weber (bad pass; steal by D. Russell),,101-105,,
4:29.0,,,101-105,,A. Crabbe misses 3-pt shot from 22 ft
4:26.0,,,101-105,,Offensive rebound by J. Allen
4:24.0,Personal foul by D. Davis (drawn by J. Allen),,101-105,,
4:24.0,,,101-106,1,J. Allen makes free throw 1 of 2
4:24.0,,,101-107,1,J. Allen makes free throw 2 of 2
4:13.0,W. Selden misses 2-pt shot from 3 ft,,101-107,,
4:13.0,,,101-107,,Defensive rebound by D. Russell
4:07.0,,,101-109,2,C. LeVert makes 2-pt shot at rim (assist by D. Russell)
4:06.0,Memphis full timeout,,101-109,,
4:06.0,D. Brooks enters the game for D. Davis,,101-109,,
3:49.0,W. Selden misses 2-pt shot from 2 ft,,101-109,,
3:48.0,,,101-109,,Defensive rebound by C. LeVert
3:48.0,Personal foul by W. Selden (drawn by C. LeVert),,101-109,,
3:48.0,,,101-109,,C. LeVert misses free throw 1 of 2
3:48.0,,,101-109,,Offensive rebound by Team
3:48.0,,,101-109,,C. LeVert misses free throw 2 of 2
3:45.0,Defensive rebound by J. Green,,101-109,,
3:38.0,A. Harrison makes 2-pt shot from 1 ft,2,103-109,,
3:38.0,Shooting foul by J. Allen (drawn by A. Harrison),,103-109,,
3:38.0,,,103-109,,D. Carroll enters the game for J. Allen
3:38.0,A. Harrison misses free throw 1 of 1,,103-109,,
3:38.0,,,103-109,,Defensive rebound by R. Hollis-Jefferson
3:17.0,Personal foul by W. Selden (drawn by C. LeVert),,103-109,,
3:17.0,,,103-110,1,C. LeVert makes free throw 1 of 2
3:17.0,,,103-111,1,C. LeVert makes free throw 2 of 2
3:11.0,W. Selden misses 3-pt shot from 24 ft,,103-111,,
3:07.0,,,103-111,,Defensive rebound by C. LeVert
3:05.0,,,103-111,,Turnover by C. LeVert (lost ball; steal by B. Weber)
3:04.0,,,103-111,,Personal foul by D. Russell (drawn by B. Weber)
3:04.0,Turnover by B. Weber (step out of bounds),,103-111,,
3:04.0,,,103-111,,Brooklyn full timeout
2:44.0,,,103-111,,D. Russell misses 3-pt shot from 24 ft
2:41.0,Defensive rebound by A. Harrison,,103-111,,
2:37.0,W. Selden makes 3-pt shot from 24 ft (assist by A. Harrison),3,106-111,,
2:10.0,,,106-113,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Russell)
1:47.0,W. Selden misses 2-pt shot from 8 ft (block by D. Carroll),,106-113,,
1:44.0,Offensive rebound by B. Weber,,106-113,,
1:43.0,W. Selden misses 3-pt shot from 22 ft (block by D. Russell),,106-113,,
1:43.0,Offensive rebound by Team,,106-113,,
1:43.0,Turnover by Team (shot clock),,106-113,,
1:18.0,,,106-113,,D. Russell misses 3-pt shot from 26 ft
1:16.0,Defensive rebound by J. Green,,106-113,,
1:15.0,Turnover by J. Green (bad pass),,106-113,,
0:56.0,,,106-113,,C. LeVert misses 2-pt shot from 23 ft
0:54.0,,,106-113,,Offensive rebound by R. Hollis-Jefferson
0:54.0,Personal foul by A. Harrison (drawn by R. Hollis-Jefferson),,106-113,,
0:54.0,,,106-114,1,R. Hollis-Jefferson makes free throw 1 of 2
0:54.0,,,106-114,,R. Hollis-Jefferson misses free throw 2 of 2
0:53.0,Defensive rebound by J. Green,,106-114,,
0:45.0,J. Green makes 2-pt shot from 2 ft (assist by A. Harrison),2,108-114,,
0:45.0,Shooting foul by D. Russell (drawn by J. Green),,108-114,,
0:45.0,J. Green misses free throw 1 of 1,,108-114,,
0:45.0,,,108-114,,Defensive rebound by R. Hollis-Jefferson
0:38.0,,,108-116,2,A. Crabbe makes 2-pt shot at rim (assist by D. Russell)
0:31.0,A. Harrison misses 2-pt shot from 8 ft,,108-116,,
0:30.0,Offensive rebound by J. Green,,108-116,,
0:30.0,J. Green makes 2-pt shot from 1 ft,2,110-116,,
0:29.0,Personal take foul by J. Green (drawn by R. Hollis-Jefferson),,110-116,,
0:29.0,,,110-116,,R. Hollis-Jefferson misses free throw 1 of 2
0:29.0,,,110-116,,Offensive rebound by Team
0:29.0,,,110-117,1,R. Hollis-Jefferson makes free throw 2 of 2
0:29.0,Memphis full timeout,,110-117,,
0:26.0,W. Selden makes 3-pt shot from 25 ft (assist by A. Harrison),3,113-117,,
0:23.0,,,113-117,,Brooklyn full timeout
0:23.0,,,113-117,,S. Dinwiddie enters the game for C. LeVert
0:23.0,D. Davis enters the game for D. Brooks,,113-117,,
0:23.0,,,113-117,,Brooklyn full timeout
0:23.0,,,113-117,,Turnover by D. Carroll (bad pass)
0:23.0,Memphis full timeout,,113-117,,
0:23.0,,,113-117,,C. LeVert enters the game for D. Russell
0:23.0,D. Brooks enters the game for B. Weber,,113-117,,
0:16.0,A. Harrison misses 2-pt shot from 16 ft,,113-117,,
0:13.0,Offensive rebound by J. Green,,113-117,,
0:12.0,J. Green makes 2-pt shot from 2 ft,2,115-117,,
0:11.0,Personal take foul by D. Brooks (drawn by S. Dinwiddie),,115-117,,
0:11.0,,,115-117,,S. Dinwiddie misses free throw 1 of 2
0:11.0,,,115-117,,Offensive rebound by Team
0:11.0,,,115-118,1,S. Dinwiddie makes free throw 2 of 2
0:00.0,A. Harrison misses 3-pt shot from 24 ft,,115-118,,
0:00.0,Offensive rebound by Team,,115-118,,
