time,Philadelphia,pts.away,score,pts.home,Cleveland
0:46.0,,,59-51,,L. Nance enters the game for T. Thompson
0:46.0,,,59-51,,J. Clarkson enters the game for R. Hood
0:46.0,M. Belinelli enters the game for D. Saric,,59-51,,
0:46.0,E. Ilyasova enters the game for J. Redick,,59-51,,
0:35.0,,,59-54,3,J. Green makes 3-pt shot from 26 ft (assist by L. James)
0:28.0,R. Covington misses 3-pt shot from 24 ft,,59-54,,
0:26.0,,,59-54,,Defensive rebound by G. Hill
0:06.0,,,59-56,2,L. James makes 2-pt shot from 1 ft (assist by J. Green)
0:00.0,M. Belinelli misses 3-pt shot from 27 ft,,59-56,,
0:00.0,Offensive rebound by Team,,59-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,59-58,2,R. Hood makes 2-pt shot from 7 ft
11:26.0,J. Redick makes 2-pt shot from 18 ft (assist by J. Embiid),2,61-58,,
11:03.0,,,61-58,,R. Hood misses 2-pt shot from 6 ft
10:58.0,,,61-58,,Offensive rebound by T. Thompson
10:58.0,,,61-58,,T. Thompson misses 2-pt shot at rim
10:57.0,,,61-58,,Offensive rebound by T. Thompson
10:57.0,,,61-58,,T. Thompson misses 2-pt shot at rim
10:57.0,Defensive rebound by R. Covington,,61-58,,
10:52.0,D. Saric misses 2-pt shot from 1 ft (block by R. Hood),,61-58,,
10:49.0,,,61-58,,Defensive rebound by T. Thompson
10:38.0,,,61-60,2,T. Thompson makes 2-pt shot from 9 ft (assist by G. Hill)
10:28.0,B. Simmons misses 2-pt shot from 7 ft,,61-60,,
10:26.0,,,61-60,,Defensive rebound by T. Thompson
10:21.0,,,61-60,,L. James misses 2-pt shot from 21 ft
10:21.0,Defensive rebound by D. Saric,,61-60,,
10:02.0,B. Simmons makes 2-pt shot from 11 ft,2,63-60,,
9:47.0,,,63-62,2,G. Hill makes 2-pt shot from 19 ft
9:27.0,Shooting foul by C. Osman (drawn by B. Simmons),,63-62,,
9:27.0,B. Simmons makes free throw 1 of 2,1,64-62,,
9:27.0,B. Simmons makes free throw 2 of 2,1,65-62,,
9:21.0,,,65-62,,R. Hood misses 3-pt shot from 28 ft
9:17.0,Defensive rebound by R. Covington,,65-62,,
9:07.0,B. Simmons makes 2-pt shot at rim,2,67-62,,
8:43.0,,,67-62,,L. James misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by J. Redick,,67-62,,
8:31.0,,,67-62,,Personal foul by C. Osman (drawn by D. Saric)
8:31.0,,,67-62,,J. Green enters the game for C. Osman
8:18.0,,,67-62,,Personal foul by L. James (drawn by D. Saric)
8:02.0,J. Redick misses 3-pt shot from 22 ft,,67-62,,
7:59.0,,,67-62,,Defensive rebound by R. Hood
7:57.0,,,67-62,,R. Hood misses 2-pt shot from 1 ft
7:57.0,,,67-62,,Offensive rebound by T. Thompson
7:57.0,,,67-62,,Shooting foul by R. Covington (drawn by T. Thompson)
7:57.0,,,67-62,,T. Thompson misses free throw 1 of 2
