time,New York,pts.away,score,pts.home,Dallas
4:04.0,,,90-80,,Defensive rebound by S. Mejri
3:59.0,,,90-80,,Shooting foul by F. Ntilikina (drawn by J. Barea)
3:59.0,,,90-81,1,J. Barea makes free throw 1 of 2
3:59.0,K. Porzingis enters the game for W. Hernangomez,,90-81,,
3:59.0,L. Thomas enters the game for D. McDermott,,90-81,,
3:59.0,,,90-82,1,J. Barea makes free throw 2 of 2
3:41.0,Turnover by F. Ntilikina (bad pass; steal by D. Harris),,90-82,,
3:39.0,,,90-84,2,J. Barea makes 2-pt shot from 1 ft (assist by D. Harris)
3:39.0,New York full timeout,,90-84,,
3:39.0,J. Jack enters the game for F. Ntilikina,,90-84,,
3:25.0,Shooting foul by W. Matthews (drawn by K. Porzingis),,90-84,,
3:25.0,K. Porzingis makes free throw 1 of 2,1,91-84,,
3:25.0,K. Porzingis makes free throw 2 of 2,1,92-84,,
3:13.0,,,92-87,3,H. Barnes makes 3-pt shot from 24 ft (assist by D. Harris)
2:52.0,J. Jack misses 2-pt shot from 7 ft,,92-87,,
2:51.0,,,92-87,,Defensive rebound by Team
2:51.0,Loose ball foul by K. O'Quinn (drawn by S. Mejri),,92-87,,
2:51.0,,,92-88,1,S. Mejri makes free throw 1 of 2
2:51.0,,,92-89,1,S. Mejri makes free throw 2 of 2
2:41.0,Offensive foul by J. Jack (drawn by D. Harris),,92-89,,
2:41.0,Turnover by J. Jack (offensive foul),,92-89,,
2:28.0,,,92-92,3,D. Harris makes 3-pt shot from 25 ft (assist by H. Barnes)
2:04.0,L. Thomas misses 3-pt shot from 25 ft,,92-92,,
2:00.0,,,92-92,,Defensive rebound by J. Barea
1:41.0,,,92-92,,H. Barnes misses 2-pt shot from 15 ft
1:38.0,Defensive rebound by C. Lee,,92-92,,
1:28.0,,,92-92,,Personal block foul by W. Matthews (drawn by K. Porzingis)
1:28.0,K. Porzingis makes free throw 1 of 2,1,93-92,,
1:28.0,K. Porzingis makes free throw 2 of 2,1,94-92,,
1:18.0,,,94-94,2,H. Barnes makes 2-pt shot from 16 ft (assist by D. Harris)
1:04.0,K. Porzingis misses 2-pt shot from 19 ft,,94-94,,
1:01.0,Offensive rebound by K. O'Quinn,,94-94,,
1:00.0,New York full timeout,,94-94,,
1:00.0,,,94-94,,D. Powell enters the game for S. Mejri
0:55.0,K. Porzingis misses 2-pt shot from 11 ft,,94-94,,
0:51.0,,,94-94,,Defensive rebound by H. Barnes
0:39.0,,,94-94,,Turnover by J. Barea (bad pass; steal by K. O'Quinn)
0:31.0,J. Jack makes 2-pt shot from 10 ft,2,96-94,,
0:31.0,,,96-94,,Dallas full timeout
0:31.0,,,96-94,,D. Nowitzki enters the game for D. Powell
0:19.0,,,96-94,,J. Barea misses 3-pt shot from 26 ft
0:16.0,Defensive rebound by C. Lee,,96-94,,
0:16.0,,,96-94,,Personal take foul by D. Harris (drawn by C. Lee)
0:16.0,C. Lee makes free throw 1 of 2,1,97-94,,
0:16.0,C. Lee makes free throw 2 of 2,1,98-94,,
0:10.0,,,98-94,,H. Barnes misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by L. Thomas,,98-94,,
0:07.0,,,98-94,,Personal take foul by D. Harris (drawn by C. Lee)
0:07.0,C. Lee makes free throw 1 of 2,1,99-94,,
0:07.0,C. Lee makes free throw 2 of 2,1,100-94,,
0:07.0,,,100-94,,Dallas full timeout
0:07.0,,,100-94,,D. Powell enters the game for J. Barea
0:01.0,,,100-96,2,H. Barnes makes 2-pt shot from 16 ft (assist by D. Powell)
