time,Memphis,pts.away,score,pts.home,Orlando
6:04.0,,,86-84,,Loose ball foul by A. Gordon (drawn by J. Martin)
6:04.0,,,86-84,,E. Fournier enters the game for J. Isaac
6:04.0,J. Green enters the game for I. Rabb,,86-84,,
5:53.0,B. McLemore makes 2-pt shot from 2 ft (assist by J. Green),2,88-84,,
5:37.0,,,88-84,,Offensive foul by A. Gordon (drawn by D. Brooks)
5:37.0,,,88-84,,Turnover by A. Gordon (offensive foul)
5:20.0,D. Brooks makes 2-pt shot from 3 ft,2,90-84,,
5:05.0,,,90-84,,J. Simmons misses 2-pt shot from 6 ft (block by J. Green)
5:05.0,,,90-84,,Offensive rebound by J. Simmons
5:05.0,,,90-84,,Shooting foul by J. Green (drawn by J. Simmons)
5:05.0,,,90-85,1,J. Simmons makes free throw 1 of 2
5:05.0,,,90-86,1,J. Simmons makes free throw 2 of 2
4:50.0,J. Green makes 2-pt shot from 6 ft (assist by B. McLemore),2,92-86,,
4:31.0,,,92-88,2,N. Vucevic makes 2-pt shot from 4 ft (assist by A. Gordon)
4:31.0,,,92-88,,Shooting foul by B. McLemore (drawn by N. Vucevic)
4:31.0,,,92-89,1,N. Vucevic makes free throw 1 of 1
4:15.0,J. Martin misses 2-pt shot from 18 ft,,92-89,,
4:13.0,,,92-89,,Defensive rebound by N. Vucevic
3:49.0,,,92-91,2,E. Fournier makes 2-pt shot from 6 ft
3:24.0,M. Chalmers misses 2-pt shot from 7 ft,,92-91,,
3:22.0,,,92-91,,Defensive rebound by A. Gordon
3:17.0,,,92-93,2,A. Gordon makes 2-pt shot from 2 ft
3:17.0,Memphis full timeout,,92-93,,
3:17.0,K. Simmons enters the game for M. Chalmers,,92-93,,
3:04.0,B. McLemore makes 2-pt shot from 3 ft (assist by J. Green),2,94-93,,
3:03.0,,,94-93,,Orlando full timeout
2:47.0,,,94-93,,E. Fournier misses 3-pt shot from 23 ft
2:44.0,Defensive rebound by J. Martin,,94-93,,
2:28.0,J. Green misses 2-pt shot from 19 ft,,94-93,,
2:26.0,,,94-93,,Defensive rebound by A. Gordon
2:15.0,Personal foul by K. Simmons (drawn by E. Fournier),,94-93,,
2:15.0,,,94-94,1,E. Fournier makes free throw 1 of 2
2:15.0,,,94-95,1,E. Fournier makes free throw 2 of 2
1:52.0,Shooting foul by A. Gordon (drawn by J. Martin),,94-95,,
1:52.0,J. Martin makes free throw 1 of 2,1,95-95,,
1:52.0,J. Martin makes free throw 2 of 2,1,96-95,,
1:38.0,,,96-98,3,J. Simmons makes 3-pt shot from 23 ft (assist by E. Fournier)
1:26.0,K. Simmons makes 2-pt shot from 16 ft,2,98-98,,
1:05.0,,,98-100,2,D. Augustin makes 2-pt shot from 3 ft
0:51.0,Turnover by D. Brooks (bad pass; steal by E. Fournier),,98-100,,
0:47.0,,,98-100,,Turnover by E. Fournier (lost ball; steal by J. Green)
0:43.0,J. Martin makes 2-pt shot from 3 ft (assist by D. Brooks),2,100-100,,
0:43.0,Shooting foul by N. Vucevic (drawn by J. Martin),,100-100,,
0:43.0,J. Martin misses free throw 1 of 1,,100-100,,
0:39.0,,,100-100,,Defensive rebound by D. Augustin
0:36.0,,,100-100,,Orlando full timeout
0:22.0,,,100-103,3,E. Fournier makes 3-pt shot from 28 ft
0:22.0,Memphis full timeout,,100-103,,
0:22.0,,,100-103,,J. Isaac enters the game for D. Augustin
0:11.0,J. Martin misses 3-pt shot from 24 ft (block by J. Isaac),,100-103,,
0:11.0,,,100-103,,Defensive rebound by Team
0:09.0,,,100-103,,Orlando full timeout
0:09.0,,,100-103,,D. Augustin enters the game for J. Simmons
0:09.0,,,100-103,,M. Speights enters the game for J. Isaac
0:09.0,B. Johnson enters the game for K. Simmons,,100-103,,
0:08.0,Personal take foul by J. Green (drawn by E. Fournier),,100-103,,
0:08.0,,,100-104,1,E. Fournier makes free throw 1 of 2
0:08.0,,,100-104,,J. Isaac enters the game for D. Augustin
0:08.0,,,100-104,,J. Simmons enters the game for M. Speights
0:08.0,,,100-105,1,E. Fournier makes free throw 2 of 2
0:08.0,Memphis full timeout,,100-105,,
0:08.0,K. Simmons enters the game for B. Johnson,,100-105,,
0:08.0,Turnover by Team (turnover),,100-105,,
0:08.0,,,100-105,,D. Augustin enters the game for J. Isaac
0:07.0,Personal take foul by K. Simmons (drawn by D. Augustin),,100-105,,
0:07.0,,,100-106,1,D. Augustin makes free throw 1 of 2
0:07.0,,,100-107,1,D. Augustin makes free throw 2 of 2
0:03.0,B. McLemore misses 3-pt shot from 26 ft,,100-107,,
0:03.0,,,100-107,,Defensive rebound by E. Fournier
