time,Dallas,pts.away,score,pts.home,Sacramento
3:43.0,J. Motley makes 2-pt shot from 2 ft (assist by K. Collinsworth),2,98-80,,
3:34.0,,,98-80,,F. Mason misses 2-pt shot from 2 ft (block by K. Collinsworth)
3:31.0,Defensive rebound by M. Kleber,,98-80,,
3:30.0,A. Harrison enters the game for D. McDermott,,98-80,,
3:24.0,J. Jones misses 3-pt shot from 23 ft,,98-80,,
3:22.0,,,98-80,,Defensive rebound by F. Mason
3:08.0,,,98-83,3,B. Caboclo makes 3-pt shot from 26 ft (assist by S. Labissiere)
2:39.0,J. Motley misses 2-pt shot from 18 ft (block by B. Caboclo),,98-83,,
2:39.0,Offensive rebound by Team,,98-83,,
2:39.0,Turnover by Team (shot clock),,98-83,,
2:29.0,,,98-85,2,S. Labissiere makes 2-pt shot from 2 ft (assist by F. Mason)
2:29.0,,,98-85,,Shooting foul by J. Motley (drawn by S. Labissiere)
2:29.0,,,98-86,1,S. Labissiere makes free throw 1 of 1
2:17.0,J. Jones misses 2-pt shot from 1 ft,,98-86,,
2:15.0,,,98-86,,Defensive rebound by B. Caboclo
2:12.0,,,98-88,2,B. Hield makes 2-pt shot from 2 ft (assist by B. Caboclo)
1:50.0,A. Harrison misses 3-pt shot from 24 ft,,98-88,,
1:49.0,,,98-88,,Defensive rebound by Team
1:33.0,,,98-91,3,B. Hield makes 3-pt shot from 25 ft (assist by S. Labissiere)
1:24.0,,,98-91,,Personal foul by F. Mason (drawn by K. Collinsworth)
1:12.0,J. Motley misses 2-pt shot from 3 ft,,98-91,,
1:10.0,Offensive rebound by J. Motley,,98-91,,
1:10.0,J. Motley makes 2-pt shot from 2 ft,2,100-91,,
0:54.0,,,100-93,2,S. Labissiere makes 2-pt shot from 11 ft
0:42.0,Turnover by K. Collinsworth (lost ball; steal by B. Hield),,100-93,,
0:41.0,,,100-95,2,B. Hield makes 2-pt shot from 1 ft
0:33.0,Turnover by A. Harrison (bad pass; steal by J. Sampson),,100-95,,
0:29.0,,,100-95,,J. Sampson misses 2-pt shot from 8 ft (block by A. Harrison)
0:29.0,Defensive rebound by A. Harrison,,100-95,,
0:28.0,,,100-95,,Personal foul by B. Hield (drawn by A. Harrison)
0:28.0,A. Harrison makes free throw 1 of 2,1,101-95,,
0:28.0,A. Harrison makes free throw 2 of 2,1,102-95,,
0:21.0,,,102-95,,Shooting foul by A. Harrison (drawn by F. Mason)
0:21.0,,,102-96,1,F. Mason makes free throw 1 of 2
0:21.0,,,102-97,1,F. Mason makes free throw 2 of 2
0:20.0,,,102-97,,Personal foul by B. Hield (drawn by K. Collinsworth)
0:20.0,K. Collinsworth makes free throw 1 of 1,1,103-97,,
0:20.0,K. Collinsworth misses free throw 2 of 2,,103-97,,
0:20.0,,,103-97,,Defensive rebound by Team
0:09.0,,,103-97,,B. Hield misses 3-pt shot from 26 ft
0:09.0,Defensive rebound by Team,,103-97,,
