time,Golden State,pts.away,score,pts.home,Brooklyn
10:31.0,,,100-88,1,S. Dinwiddie makes free throw 1 of 2
10:31.0,,,100-88,,S. Dinwiddie misses free throw 2 of 2
10:26.0,Defensive rebound by K. Thompson,,100-88,,
10:15.0,K. Thompson makes 2-pt shot from 22 ft (assist by D. Green),2,102-88,,
10:04.0,,,102-88,,Offensive foul by J. Allen (drawn by D. Green)
10:04.0,,,102-88,,Turnover by J. Allen (offensive foul)
10:04.0,,,102-88,,D. Carroll enters the game for Q. Acy
9:51.0,K. Thompson makes 2-pt shot from 16 ft (assist by D. Green),2,104-88,,
9:32.0,,,104-88,,J. Harris misses 3-pt shot from 22 ft (block by S. Livingston)
9:32.0,,,104-88,,Offensive rebound by Team
9:26.0,,,104-88,,S. Dinwiddie misses 2-pt shot from 12 ft
9:24.0,Defensive rebound by D. West,,104-88,,
9:21.0,A. Iguodala misses 2-pt shot from 1 ft,,104-88,,
9:20.0,,,104-88,,Defensive rebound by Team
9:03.0,,,104-88,,C. LeVert misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by D. Green,,104-88,,
8:56.0,Turnover by S. Livingston (traveling),,104-88,,
8:56.0,,,104-88,,Brooklyn full timeout
8:56.0,,,104-88,,R. Hollis-Jefferson enters the game for J. Harris
8:56.0,,,104-88,,A. Crabbe enters the game for C. LeVert
8:45.0,,,104-90,2,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie)
8:27.0,,,104-90,,Violation by S. Dinwiddie (kicked ball)
8:22.0,K. Thompson misses 2-pt shot from 20 ft,,104-90,,
8:18.0,,,104-90,,Defensive rebound by D. Carroll
8:10.0,,,104-92,2,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
7:51.0,Turnover by S. Livingston (out of bounds lost ball),,104-92,,
7:51.0,O. Casspi enters the game for D. West,,104-92,,
7:39.0,,,104-92,,A. Crabbe misses 2-pt shot from 19 ft (block by A. Iguodala)
7:35.0,,,104-92,,Offensive rebound by D. Carroll
7:32.0,,,104-92,,Shooting foul by O. Casspi (drawn by S. Dinwiddie)
7:32.0,,,104-93,1,S. Dinwiddie makes free throw 1 of 2
7:32.0,,,104-94,1,S. Dinwiddie makes free throw 2 of 2
7:14.0,K. Thompson misses 2-pt shot from 13 ft,,104-94,,
7:12.0,,,104-94,,Defensive rebound by D. Carroll
7:04.0,,,104-94,,A. Crabbe misses 3-pt shot from 24 ft
7:00.0,,,104-94,,Offensive rebound by J. Allen
6:43.0,,,104-96,2,J. Allen makes 2-pt shot from 5 ft (assist by S. Dinwiddie)
6:41.0,Golden State full timeout,,104-96,,
6:41.0,N. Young enters the game for K. Thompson,,104-96,,
6:41.0,S. Curry enters the game for S. Livingston,,104-96,,
6:22.0,Turnover by S. Curry (bad pass; steal by R. Hollis-Jefferson),,104-96,,
6:15.0,,,104-96,,D. Carroll misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by D. Green,,104-96,,
5:52.0,A. Iguodala misses 2-pt shot from 21 ft,,104-96,,
5:49.0,,,104-96,,Defensive rebound by A. Crabbe
5:37.0,,,104-96,,R. Hollis-Jefferson misses 3-pt shot from 22 ft
5:35.0,Defensive rebound by O. Casspi,,104-96,,
5:30.0,Golden State full timeout,,104-96,,
5:23.0,Shooting foul by R. Hollis-Jefferson (drawn by A. Iguodala),,104-96,,
5:23.0,A. Iguodala misses free throw 1 of 2,,104-96,,
5:23.0,Offensive rebound by Team,,104-96,,
5:23.0,,,104-96,,Q. Acy enters the game for J. Allen
5:23.0,A. Iguodala makes free throw 2 of 2,1,105-96,,
5:01.0,,,105-96,,D. Carroll misses 3-pt shot from 24 ft
4:58.0,,,105-96,,Offensive rebound by Q. Acy
4:55.0,,,105-99,3,S. Dinwiddie makes 3-pt shot from 26 ft (assist by A. Crabbe)
4:40.0,S. Curry makes 2-pt shot from 1 ft,2,107-99,,
4:33.0,,,107-99,,S. Dinwiddie misses 3-pt shot from 26 ft
4:30.0,,,107-99,,Offensive rebound by D. Carroll
4:27.0,,,107-99,,Turnover by D. Carroll (lost ball; steal by D. Green)
4:15.0,S. Curry misses 2-pt shot from 17 ft,,107-99,,
4:12.0,,,107-99,,Defensive rebound by R. Hollis-Jefferson
4:09.0,,,107-99,,Shooting foul by A. Iguodala (drawn by R. Hollis-Jefferson)
4:09.0,,,107-100,1,R. Hollis-Jefferson makes free throw 1 of 2
4:09.0,,,107-101,1,R. Hollis-Jefferson makes free throw 2 of 2
3:55.0,O. Casspi misses 2-pt shot from 7 ft,,107-101,,
3:53.0,,,107-101,,Defensive rebound by R. Hollis-Jefferson
3:44.0,,,107-101,,Shooting foul by O. Casspi (drawn by A. Crabbe)
3:44.0,,,107-101,,A. Crabbe misses free throw 1 of 2
3:44.0,,,107-101,,Offensive rebound by Team
3:44.0,K. Thompson enters the game for O. Casspi,,107-101,,
3:44.0,,,107-102,1,A. Crabbe makes free throw 2 of 2
3:32.0,A. Iguodala misses 2-pt shot from 18 ft,,107-102,,
3:29.0,,,107-102,,Defensive rebound by D. Carroll
3:17.0,,,107-102,,Q. Acy misses 3-pt shot from 22 ft
3:15.0,,,107-102,,Offensive rebound by A. Crabbe
3:13.0,,,107-102,,A. Crabbe misses 2-pt shot from 2 ft (block by K. Thompson)
3:11.0,,,107-102,,Offensive rebound by A. Crabbe
3:09.0,,,107-102,,S. Dinwiddie misses 3-pt shot from 26 ft
3:08.0,Defensive rebound by K. Thompson,,107-102,,
3:00.0,Offensive charge foul by S. Curry (drawn by Q. Acy),,107-102,,
3:00.0,Turnover by S. Curry (offensive foul),,107-102,,
3:00.0,,,107-102,,Brooklyn full timeout
3:00.0,K. Looney enters the game for N. Young,,107-102,,
3:00.0,S. Livingston enters the game for S. Curry,,107-102,,
2:38.0,Personal foul by A. Iguodala (drawn by D. Carroll),,107-102,,
2:38.0,,,107-102,,D. Carroll misses free throw 1 of 2
2:38.0,,,107-102,,Offensive rebound by Team
2:38.0,,,107-103,1,D. Carroll makes free throw 2 of 2
2:25.0,S. Livingston makes 2-pt shot at rim (assist by D. Green),2,109-103,,
2:15.0,,,109-103,,Turnover by S. Dinwiddie (bad pass; steal by D. Green)
2:00.0,K. Thompson makes 2-pt shot from 21 ft (assist by D. Green),2,111-103,,
1:42.0,,,111-106,3,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Carroll)
1:29.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,114-106,,
1:11.0,,,114-109,3,A. Crabbe makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
0:52.0,S. Livingston misses 2-pt shot from 14 ft (block by S. Dinwiddie),,114-109,,
0:49.0,,,114-109,,Defensive rebound by R. Hollis-Jefferson
0:30.0,,,114-109,,S. Dinwiddie misses 3-pt shot from 27 ft
0:26.0,Defensive rebound by K. Thompson,,114-109,,
0:24.0,,,114-109,,Personal take foul by D. Carroll (drawn by K. Thompson)
0:22.0,,,114-109,,Personal take foul by S. Dinwiddie (drawn by S. Livingston)
0:22.0,S. Livingston makes free throw 1 of 2,1,115-109,,
0:22.0,S. Livingston makes free throw 2 of 2,1,116-109,,
0:22.0,,,116-109,,Brooklyn full timeout
0:22.0,,,116-109,,J. Harris enters the game for R. Hollis-Jefferson
0:20.0,,,116-109,,Shooting foul by D. Green (drawn by S. Dinwiddie)
0:20.0,,,116-110,1,S. Dinwiddie makes free throw 1 of 3
0:20.0,,,116-111,1,S. Dinwiddie makes free throw 2 of 3
0:20.0,,,116-111,,R. Hollis-Jefferson enters the game for Q. Acy
0:20.0,,,116-111,,C. LeVert enters the game for J. Harris
0:20.0,,,116-111,,S. Dinwiddie misses free throw 3 of 3
0:18.0,Defensive rebound by D. Green,,116-111,,
0:17.0,,,116-111,,Personal take foul by D. Carroll (drawn by K. Thompson)
0:17.0,K. Thompson makes free throw 1 of 2,1,117-111,,
0:17.0,,,117-111,,J. Harris enters the game for R. Hollis-Jefferson
0:17.0,,,117-111,,Q. Acy enters the game for C. LeVert
0:17.0,K. Thompson makes free throw 2 of 2,1,118-111,,
0:07.0,,,118-111,,S. Dinwiddie misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by A. Iguodala,,118-111,,
