time,Memphis,pts.away,score,pts.home,Washington
1:13.0,,,80-86,,B. Beal misses 2-pt shot from 2 ft
1:11.0,,,80-86,,Offensive rebound by B. Beal
1:10.0,,,80-89,3,K. Oubre makes 3-pt shot from 26 ft (assist by B. Beal)
1:10.0,Memphis full timeout,,80-89,,
1:03.0,C. Parsons misses 2-pt shot from 2 ft (block by J. Wall),,80-89,,
1:03.0,,,80-89,,Defensive rebound by Team
1:00.0,Personal take foul by M. Chalmers (drawn by B. Beal),,80-89,,
1:00.0,,,80-90,1,B. Beal makes free throw 1 of 2
1:00.0,,,80-91,1,B. Beal makes free throw 2 of 2
0:51.0,A. Harrison makes 2-pt shot at rim,2,82-91,,
0:51.0,Shooting foul by J. Wall (drawn by A. Harrison),,82-91,,
0:51.0,A. Harrison makes free throw 1 of 1,1,83-91,,
0:36.0,Personal take foul by J. Green (drawn by J. Wall),,83-91,,
0:36.0,,,83-91,,J. Wall misses free throw 1 of 2
0:36.0,,,83-91,,Offensive rebound by Team
0:36.0,,,83-91,,J. Wall misses free throw 2 of 2
0:36.0,Defensive rebound by J. Green,,83-91,,
0:36.0,Memphis full timeout,,83-91,,
0:36.0,,,83-91,,M. Scott enters the game for M. Gortat
0:29.0,J. Green makes 2-pt shot from 2 ft (assist by A. Harrison),2,85-91,,
0:25.0,Personal take foul by J. Green (drawn by O. Porter),,85-91,,
0:25.0,,,85-92,1,O. Porter makes free throw 1 of 2
0:25.0,,,85-93,1,O. Porter makes free throw 2 of 2
0:18.0,A. Harrison makes 2-pt shot from 1 ft,2,87-93,,
