time,Minnesota,pts.away,score,pts.home,Atlanta
1:15.0,Turnover by J. Butler (bad pass; steal by D. Schroder),,98-99,,
1:13.0,,,98-101,2,K. Bazemore makes 2-pt shot at rim (assist by D. Schroder)
1:13.0,,,98-101,,Shooting foul by J. Teague (drawn by K. Bazemore)
1:13.0,,,98-101,,K. Bazemore misses free throw 1 of 1
1:12.0,Defensive rebound by K. Towns,,98-101,,
1:12.0,Minnesota full timeout,,98-101,,
1:05.0,J. Butler misses 2-pt shot from 2 ft,,98-101,,
1:03.0,Offensive rebound by T. Gibson,,98-101,,
1:03.0,T. Gibson makes 2-pt shot from 1 ft,2,100-101,,
1:03.0,Shooting foul by J. Collins (drawn by T. Gibson),,100-101,,
1:03.0,T. Gibson misses free throw 1 of 1,,100-101,,
1:01.0,,,100-101,,Defensive rebound by J. Collins
0:43.0,,,100-101,,K. Bazemore misses 2-pt shot at rim
0:41.0,Defensive rebound by T. Gibson,,100-101,,
0:34.0,Turnover by J. Teague (bad pass; steal by M. Delaney),,100-101,,
0:16.0,,,100-101,,D. Schroder misses 2-pt shot from 10 ft
0:14.0,Defensive rebound by T. Gibson,,100-101,,
0:14.0,Minnesota full timeout,,100-101,,
0:14.0,Turnover by Team (turnover),,100-101,,
0:11.0,Personal take foul by J. Butler (drawn by D. Schroder),,100-101,,
0:11.0,,,100-101,,M. Muscala enters the game for J. Collins
0:11.0,,,100-102,1,D. Schroder makes free throw 1 of 2
0:11.0,,,100-103,1,D. Schroder makes free throw 2 of 2
0:03.0,J. Butler misses 3-pt shot from 25 ft,,100-103,,
0:00.0,,,100-103,,Defensive rebound by D. Schroder
0:00.0,Personal take foul by A. Wiggins (drawn by D. Schroder),,100-103,,
0:00.0,,,100-104,1,D. Schroder makes free throw 1 of 2
0:00.0,,,100-105,1,D. Schroder makes free throw 2 of 2
