time,Detroit,pts.away,score,pts.home,New Orleans
1:37.0,,,105-105,,J. Holiday misses 2-pt shot from 2 ft
1:37.0,,,105-105,,Offensive rebound by D. Cousins
1:37.0,,,105-107,2,D. Cousins makes 2-pt shot at rim
1:28.0,A. Bradley misses 3-pt shot from 25 ft (block by J. Holiday),,105-107,,
1:28.0,Offensive rebound by I. Smith,,105-107,,
1:23.0,I. Smith misses 2-pt shot from 1 ft,,105-107,,
1:23.0,,,105-107,,Defensive rebound by D. Cousins
1:21.0,,,105-109,2,R. Rondo makes 2-pt shot from 1 ft
1:21.0,Detroit full timeout,,105-109,,
1:14.0,T. Harris misses 3-pt shot from 23 ft,,105-109,,
1:10.0,Offensive rebound by A. Drummond,,105-109,,
1:04.0,A. Drummond makes 2-pt shot at rim (assist by A. Bradley),2,107-109,,
0:49.0,,,107-111,2,R. Rondo makes 2-pt shot from 1 ft
0:39.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Bullock),2,109-111,,
0:25.0,,,109-111,,D. Cousins misses 3-pt shot from 24 ft
0:20.0,Defensive rebound by T. Harris,,109-111,,
0:11.0,A. Bradley misses 2-pt shot from 21 ft,,109-111,,
0:08.0,,,109-111,,Defensive rebound by D. Cousins
0:05.0,Personal take foul by A. Bradley (drawn by J. Holiday),,109-111,,
0:05.0,,,109-112,1,J. Holiday makes free throw 1 of 2
0:05.0,E. Moreland enters the game for R. Bullock,,109-112,,
0:05.0,,,109-112,,J. Holiday misses free throw 2 of 2
0:05.0,Defensive rebound by A. Drummond,,109-112,,
0:05.0,Detroit full timeout,,109-112,,
0:05.0,R. Bullock enters the game for E. Moreland,,109-112,,
0:00.0,A. Bradley misses 3-pt shot from 23 ft,,109-112,,
0:00.0,,,109-112,,Defensive rebound by E. Moore
