time,Minnesota,pts.away,score,pts.home,Charlotte
11:48.0,,,80-86,2,C. Zeller makes 2-pt shot at rim (assist by M. Carter-Williams)
11:48.0,Violation by G. Dieng (def goaltending),,80-86,,
11:25.0,N. Bjelica makes 2-pt shot from 7 ft,2,82-86,,
11:12.0,,,82-88,2,F. Kaminsky makes 2-pt shot from 1 ft
11:04.0,,,82-88,,Personal foul by J. Lamb (drawn by T. Jones)
10:48.0,T. Jones misses 2-pt shot from 3 ft,,82-88,,
10:46.0,,,82-88,,Defensive rebound by D. Bacon
10:33.0,,,82-88,,D. Bacon misses 2-pt shot from 8 ft
10:33.0,,,82-88,,Offensive rebound by Team
10:33.0,Loose ball foul by N. Bjelica (drawn by C. Zeller),,82-88,,
10:21.0,,,82-90,2,F. Kaminsky makes 2-pt shot from 2 ft
10:02.0,S. Muhammad misses 3-pt shot from 22 ft,,82-90,,
10:00.0,,,82-90,,Defensive rebound by M. Carter-Williams
9:56.0,,,82-90,,Turnover by C. Zeller (offensive goaltending)
9:43.0,J. Crawford misses 3-pt shot from 29 ft,,82-90,,
9:43.0,,,82-90,,Defensive rebound by J. Lamb
9:30.0,,,82-90,,C. Zeller misses 2-pt shot from 1 ft (block by N. Bjelica)
9:26.0,Defensive rebound by G. Dieng,,82-90,,
9:23.0,,,82-90,,Personal foul by M. Carter-Williams (drawn by J. Crawford)
9:09.0,S. Muhammad makes 3-pt shot from 23 ft (assist by T. Jones),3,85-90,,
8:56.0,,,85-92,2,J. Lamb makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
8:56.0,,,85-92,,Shooting foul by T. Jones (drawn by J. Lamb)
8:56.0,J. Butler enters the game for T. Jones,,85-92,,
8:56.0,,,85-93,1,J. Lamb makes free throw 1 of 1
8:43.0,J. Butler misses 2-pt shot from 14 ft,,85-93,,
8:40.0,Jump ball: D. Bacon vs. J. Butler (J. Crawford gains possession),,,,Jump ball: D. Bacon vs. J. Butler (J. Crawford gains possession)
8:40.0,Defensive rebound by Team,,85-93,,
8:35.0,J. Crawford misses 2-pt shot from 18 ft,,85-93,,
8:28.0,Offensive rebound by S. Muhammad,,85-93,,
8:28.0,S. Muhammad misses 2-pt shot at rim,,85-93,,
8:27.0,,,85-93,,Defensive rebound by M. Carter-Williams
8:23.0,,,85-93,,Turnover by F. Kaminsky (bad pass)
8:07.0,J. Crawford misses 2-pt shot from 16 ft,,85-93,,
8:04.0,,,85-93,,Defensive rebound by C. Zeller
7:51.0,,,85-95,2,F. Kaminsky makes 2-pt shot at rim (assist by D. Bacon)
7:51.0,Minnesota full timeout,,85-95,,
7:51.0,J. Teague enters the game for J. Crawford,,85-95,,
7:51.0,A. Wiggins enters the game for S. Muhammad,,85-95,,
7:37.0,J. Butler misses 2-pt shot from 3 ft,,85-95,,
7:35.0,,,85-95,,Defensive rebound by D. Bacon
7:21.0,,,85-95,,J. Lamb misses 3-pt shot from 25 ft
7:21.0,,,85-95,,Offensive rebound by D. Bacon
7:13.0,,,85-95,,J. Lamb misses 3-pt shot from 23 ft
7:13.0,,,85-95,,Offensive rebound by M. Carter-Williams
7:00.0,,,85-95,,F. Kaminsky misses 2-pt shot from 12 ft
6:57.0,Defensive rebound by J. Butler,,85-95,,
6:55.0,,,85-95,,Personal foul by M. Carter-Williams (drawn by J. Butler)
6:55.0,,,85-95,,N. Batum enters the game for J. Lamb
6:55.0,,,85-95,,M. Kidd-Gilchrist enters the game for D. Bacon
6:55.0,,,85-95,,K. Walker enters the game for M. Carter-Williams
6:55.0,,,85-95,,D. Howard enters the game for C. Zeller
6:55.0,K. Towns enters the game for G. Dieng,,85-95,,
6:55.0,T. Gibson enters the game for N. Bjelica,,85-95,,
6:45.0,K. Towns makes 2-pt shot from 10 ft,2,87-95,,
6:45.0,,,87-95,,Violation by D. Howard (def goaltending)
6:29.0,,,87-98,3,N. Batum makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist)
6:17.0,K. Towns makes 2-pt shot from 6 ft,2,89-98,,
5:53.0,,,89-101,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by N. Batum)
5:31.0,Shooting foul by F. Kaminsky (drawn by K. Towns),,89-101,,
5:31.0,K. Towns makes free throw 1 of 3,1,90-101,,
5:31.0,,,90-101,,M. Williams enters the game for F. Kaminsky
5:31.0,K. Towns makes free throw 2 of 3,1,91-101,,
5:31.0,K. Towns makes free throw 3 of 3,1,92-101,,
5:11.0,,,92-101,,N. Batum misses 2-pt shot from 11 ft
5:06.0,,,92-101,,Offensive rebound by M. Kidd-Gilchrist
5:06.0,,,92-103,2,M. Kidd-Gilchrist makes 2-pt shot at rim
4:49.0,K. Towns misses 3-pt shot from 28 ft,,92-103,,
4:46.0,,,92-103,,Defensive rebound by D. Howard
4:33.0,,,92-103,,K. Walker misses 2-pt shot from 15 ft (block by J. Teague)
4:33.0,Defensive rebound by K. Towns,,92-103,,
4:17.0,A. Wiggins misses 2-pt shot from 12 ft,,92-103,,
4:15.0,Offensive rebound by K. Towns,,92-103,,
4:14.0,K. Towns makes 2-pt shot from 4 ft,2,94-103,,
3:51.0,,,94-105,2,N. Batum makes 2-pt shot from 14 ft (assist by M. Williams)
3:35.0,Turnover by J. Teague (bad pass; steal by N. Batum),,94-105,,
3:33.0,,,94-105,,Shooting foul by J. Teague (drawn by N. Batum)
3:33.0,,,94-106,1,N. Batum makes free throw 1 of 2
3:33.0,,,94-107,1,N. Batum makes free throw 2 of 2
3:18.0,A. Wiggins misses 2-pt shot from 11 ft,,94-107,,
3:17.0,Offensive rebound by K. Towns,,94-107,,
