time,Memphis,pts.away,score,pts.home,Miami
4:54.0,B. Johnson enters the game for D. Davis,,84-108,,
4:43.0,,,84-108,,B. Adebayo misses 2-pt shot from 2 ft
4:40.0,,,84-108,,Offensive rebound by B. Adebayo
4:40.0,,,84-110,2,B. Adebayo makes 2-pt shot at rim
4:26.0,Turnover by J. Martin (lost ball; steal by J. Richardson),,84-110,,
4:24.0,,,84-112,2,D. Wade makes 2-pt shot from 1 ft (assist by W. Ellington)
4:10.0,B. McLemore misses 2-pt shot from 2 ft,,84-112,,
4:05.0,,,84-112,,Defensive rebound by B. Adebayo
3:55.0,,,84-115,3,W. Ellington makes 3-pt shot from 23 ft (assist by J. Richardson)
3:54.0,Memphis full timeout,,84-115,,
3:54.0,,,84-115,,U. Haslem enters the game for J. Richardson
3:54.0,,,84-115,,J. Mickey enters the game for D. Wade
3:54.0,,,84-115,,L. Babbitt enters the game for B. Adebayo
3:54.0,,,84-115,,J. Winslow enters the game for J. Johnson
3:54.0,I. Rabb enters the game for J. Martin,,84-115,,
3:37.0,I. Rabb misses 2-pt shot from 17 ft,,84-115,,
3:34.0,,,84-115,,Defensive rebound by J. Winslow
3:22.0,,,84-115,,U. Haslem misses 2-pt shot from 23 ft
3:18.0,Defensive rebound by B. Johnson,,84-115,,
3:05.0,D. Brooks misses 2-pt shot from 9 ft,,84-115,,
3:03.0,Offensive rebound by I. Rabb,,84-115,,
3:01.0,B. McLemore makes 3-pt shot from 24 ft (assist by I. Rabb),3,87-115,,
2:40.0,,,87-115,,Turnover by W. Ellington (bad pass)
2:40.0,M. Henry enters the game for D. Brooks,,87-115,,
2:26.0,M. Henry makes 2-pt shot from 1 ft (assist by K. Simmons),2,89-115,,
2:10.0,,,89-115,,L. Babbitt misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by B. McLemore,,89-115,,
2:00.0,K. Simmons misses 2-pt shot from 13 ft,,89-115,,
1:57.0,,,89-115,,Defensive rebound by L. Babbitt
1:41.0,,,89-115,,W. Ellington misses 3-pt shot from 24 ft
1:39.0,Defensive rebound by I. Rabb,,89-115,,
1:31.0,B. Johnson misses 2-pt shot from 2 ft,,89-115,,
1:27.0,Offensive rebound by B. Johnson,,89-115,,
1:27.0,B. Johnson misses 2-pt shot at rim,,89-115,,
1:26.0,,,89-115,,Defensive rebound by U. Haslem
1:10.0,,,89-115,,U. Haslem misses 3-pt shot from 22 ft
1:07.0,Defensive rebound by B. Johnson,,89-115,,
0:50.0,Turnover by K. Simmons (lost ball; steal by J. Winslow),,89-115,,
0:29.0,,,89-115,,Turnover by J. Winslow (bad pass; steal by B. Johnson)
0:24.0,M. Henry misses 3-pt shot from 25 ft,,89-115,,
0:20.0,,,89-115,,Defensive rebound by L. Babbitt
