time,Philadelphia,pts.away,score,pts.home,Atlanta
10:02.0,,,91-84,,Defensive rebound by J. Collins
9:58.0,,,91-86,2,D. Lee makes 2-pt shot from 13 ft (assist by D. Bembry)
9:44.0,J. Redick makes 3-pt shot from 24 ft (assist by A. Johnson),3,94-86,,
9:43.0,,,94-86,,Atlanta full timeout
9:28.0,,,94-86,,D. Bembry misses 2-pt shot from 2 ft
9:28.0,,,94-86,,Offensive rebound by M. Muscala
9:28.0,,,94-86,,Shooting foul by A. Johnson (drawn by M. Muscala)
9:28.0,,,94-87,1,M. Muscala makes free throw 1 of 2
9:28.0,,,94-88,1,M. Muscala makes free throw 2 of 2
9:17.0,A. Johnson makes 2-pt shot from 1 ft,2,96-88,,
9:08.0,,,96-91,3,T. Dorsey makes 3-pt shot from 25 ft (assist by D. Bembry)
8:46.0,J. Redick misses 2-pt shot from 5 ft,,96-91,,
8:41.0,Offensive rebound by A. Johnson,,96-91,,
8:41.0,A. Johnson makes 2-pt shot at rim,2,98-91,,
8:35.0,,,98-91,,Turnover by J. Collins (lost ball; steal by M. Fultz)
8:29.0,Turnover by T. McConnell (bad pass; steal by D. Bembry),,98-91,,
8:29.0,Personal foul by T. McConnell (drawn by D. Bembry),,98-91,,
8:29.0,M. Belinelli enters the game for J. Redick,,98-91,,
8:29.0,B. Simmons enters the game for M. Fultz,,98-91,,
8:29.0,E. Ilyasova enters the game for R. Covington,,98-91,,
8:17.0,,,98-91,,Turnover by D. Bembry (bad pass; steal by M. Belinelli)
8:02.0,A. Johnson misses 3-pt shot from 25 ft,,98-91,,
7:58.0,,,98-91,,Defensive rebound by D. Lee
7:52.0,,,98-91,,D. Lee misses 2-pt shot from 17 ft
7:49.0,Defensive rebound by B. Simmons,,98-91,,
7:45.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by T. McConnell),3,101-91,,
7:27.0,,,101-91,,J. Collins misses 2-pt shot from 1 ft
7:26.0,,,101-91,,Offensive rebound by J. Collins
7:26.0,,,101-91,,Shooting foul by M. Belinelli (drawn by J. Collins)
7:26.0,,,101-91,,J. Collins misses free throw 1 of 2
7:26.0,,,101-91,,Offensive rebound by Team
7:26.0,,,101-91,,A. Cleveland enters the game for T. Dorsey
7:26.0,,,101-91,,I. Taylor enters the game for D. Lee
7:26.0,,,101-91,,J. Collins misses free throw 2 of 2
7:22.0,Defensive rebound by A. Johnson,,101-91,,
7:06.0,Shooting foul by A. Cleveland (drawn by M. Belinelli),,101-91,,
7:06.0,,,101-91,,T. Waller-Prince enters the game for A. Cleveland
7:06.0,M. Belinelli makes free throw 1 of 2,1,102-91,,
7:06.0,,,102-91,,D. Dedmon enters the game for M. Muscala
7:06.0,M. Belinelli makes free throw 2 of 2,1,103-91,,
6:53.0,,,103-93,2,T. Waller-Prince makes 2-pt shot from 2 ft
6:34.0,M. Belinelli makes 3-pt shot from 24 ft (assist by E. Ilyasova),2,106-93,,
6:23.0,,,106-96,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by I. Taylor)
6:06.0,M. Belinelli misses 3-pt shot from 25 ft,,106-96,,
6:03.0,,,106-96,,Defensive rebound by D. Dedmon
5:55.0,,,106-98,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Dedmon)
5:55.0,,,106-98,,Shooting foul by A. Johnson (drawn by J. Collins)
5:55.0,,,106-98,,D. Lee enters the game for D. Bembry
5:55.0,J. Redick enters the game for A. Johnson,,106-98,,
5:55.0,R. Covington enters the game for T. McConnell,,106-98,,
5:55.0,,,106-98,,J. Collins misses free throw 1 of 1
5:55.0,Defensive rebound by B. Simmons,,106-98,,
5:45.0,Offensive foul by B. Simmons (drawn by D. Lee),,106-98,,
5:45.0,Turnover by B. Simmons (offensive foul),,106-98,,
5:26.0,,,106-100,2,I. Taylor makes 2-pt shot from 6 ft (assist by D. Dedmon)
5:25.0,Philadelphia full timeout,,106-100,,
5:10.0,E. Ilyasova misses 3-pt shot from 25 ft,,106-100,,
5:07.0,,,106-100,,Defensive rebound by D. Dedmon
4:51.0,,,106-100,,Turnover by T. Waller-Prince (lost ball; steal by B. Simmons)
4:47.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Simmons),3,109-100,,
4:30.0,,,109-100,,Turnover by I. Taylor (traveling)
4:19.0,R. Covington misses 3-pt shot from 24 ft,,109-100,,
4:14.0,,,109-100,,Defensive rebound by J. Collins
4:08.0,,,109-102,2,D. Lee makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
3:48.0,Turnover by E. Ilyasova (bad pass; steal by D. Lee),,109-102,,
3:29.0,,,109-102,,I. Taylor misses 2-pt shot from 3 ft (block by E. Ilyasova)
3:29.0,,,109-102,,Offensive rebound by Team
3:24.0,,,109-102,,D. Dedmon misses 2-pt shot from 8 ft
3:18.0,,,109-102,,Offensive rebound by J. Collins
3:18.0,,,109-104,2,J. Collins makes 2-pt shot at rim
3:04.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by B. Simmons),2,111-104,,
2:51.0,,,111-104,,T. Waller-Prince misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by E. Ilyasova,,111-104,,
2:31.0,J. Redick misses 2-pt shot from 1 ft,,111-104,,
2:29.0,,,111-104,,Defensive rebound by I. Taylor
2:22.0,,,111-104,,D. Dedmon misses 2-pt shot from 1 ft (block by E. Ilyasova)
2:20.0,Jump ball: D. Dedmon vs. E. Ilyasova (T. Waller-Prince gains possession),,,,Jump ball: D. Dedmon vs. E. Ilyasova (T. Waller-Prince gains possession)
2:20.0,,,111-104,,Offensive rebound by Team
2:19.0,,,111-104,,Atlanta full timeout
2:09.0,,,111-104,,I. Taylor misses 2-pt shot from 9 ft (block by R. Covington)
2:09.0,,,111-104,,Offensive rebound by Team
2:07.0,,,111-104,,J. Collins misses 2-pt shot from 17 ft
2:04.0,Defensive rebound by B. Simmons,,111-104,,
2:03.0,,,111-104,,Personal foul by D. Lee (drawn by R. Covington)
1:49.0,B. Simmons misses 2-pt shot at rim,,111-104,,
1:49.0,Offensive rebound by B. Simmons,,111-104,,
1:49.0,B. Simmons makes 2-pt shot at rim,2,113-104,,
1:30.0,,,113-107,3,J. Collins makes 3-pt shot from 22 ft (assist by T. Waller-Prince)
1:12.0,Turnover by B. Simmons (bad pass; steal by T. Waller-Prince),,113-107,,
1:06.0,,,113-107,,T. Waller-Prince misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by E. Ilyasova,,113-107,,
0:45.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Covington),2,115-107,,
0:45.0,,,115-107,,Atlanta full timeout
0:43.0,,,115-110,3,T. Waller-Prince makes 3-pt shot from 23 ft (assist by J. Collins)
0:37.0,,,115-110,,Personal take foul by D. Lee (drawn by B. Simmons)
0:37.0,B. Simmons makes free throw 1 of 2,1,116-110,,
0:37.0,B. Simmons misses free throw 2 of 2,,116-110,,
0:35.0,,,116-110,,Defensive rebound by D. Dedmon
0:32.0,,,116-112,2,J. Collins makes 2-pt shot from 1 ft (assist by I. Taylor)
0:29.0,,,116-112,,Personal foul by I. Taylor (drawn by R. Covington)
0:29.0,R. Covington misses free throw 1 of 2,,116-112,,
0:29.0,Offensive rebound by Team,,116-112,,
0:29.0,R. Covington makes free throw 2 of 2,1,117-112,,
0:27.0,,,117-112,,T. Waller-Prince misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by Team,,117-112,,
0:25.0,Philadelphia full timeout,,117-112,,
0:23.0,,,117-112,,Personal foul by T. Waller-Prince (drawn by J. Redick)
0:23.0,J. Redick makes free throw 1 of 2,1,118-112,,
0:23.0,,,118-112,,T. Dorsey enters the game for T. Waller-Prince
0:23.0,J. Redick makes free throw 2 of 2,1,119-112,,
0:18.0,,,119-112,,D. Dedmon misses 3-pt shot from 24 ft
0:16.0,Defensive rebound by E. Ilyasova,,119-112,,
0:16.0,,,119-112,,Personal foul by D. Lee (drawn by E. Ilyasova)
0:16.0,E. Ilyasova makes free throw 1 of 2,1,120-112,,
0:16.0,,,120-112,,M. Plumlee enters the game for D. Dedmon
0:16.0,,,120-112,,M. Muscala enters the game for J. Collins
0:16.0,E. Ilyasova makes free throw 2 of 2,1,121-112,,
0:09.0,,,121-112,,D. Lee misses 3-pt shot from 25 ft (block by B. Simmons)
0:08.0,,,121-112,,Offensive rebound by Team
0:06.0,Loose ball foul by B. Simmons (drawn by D. Lee),,121-112,,
0:06.0,M. Fultz enters the game for B. Simmons,,121-112,,
0:06.0,,,121-112,,D. Lee misses free throw 1 of 2
0:06.0,,,121-112,,Offensive rebound by Team
0:06.0,,,121-113,1,D. Lee makes free throw 2 of 2
