time,Atlanta,pts.away,score,pts.home,Oklahoma City
4:59.0,,,99-104,,S. Adams misses free throw 1 of 2
4:59.0,,,99-104,,Offensive rebound by Team
4:59.0,,,99-105,1,S. Adams makes free throw 2 of 2
4:45.0,E. Ilyasova misses 2-pt shot from 2 ft,,99-105,,
4:43.0,,,99-105,,Defensive rebound by R. Westbrook
4:34.0,,,99-105,,J. Huestis misses 2-pt shot at rim
4:32.0,,,99-105,,Offensive rebound by R. Westbrook
4:21.0,,,99-107,2,R. Westbrook makes 2-pt shot at rim
4:00.0,M. Delaney makes 3-pt shot from 28 ft (assist by M. Belinelli),3,102-107,,
3:41.0,,,102-107,,C. Anthony misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by J. Collins,,102-107,,
3:32.0,,,102-107,,Personal foul by S. Adams (drawn by M. Belinelli)
3:23.0,M. Belinelli makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,105-107,,
3:09.0,Personal foul by M. Delaney (drawn by R. Westbrook),,105-107,,
3:09.0,,,105-108,1,R. Westbrook makes free throw 1 of 2
3:09.0,K. Bazemore enters the game for T. Waller-Prince,,105-108,,
3:09.0,,,105-109,1,R. Westbrook makes free throw 2 of 2
2:54.0,M. Belinelli misses 2-pt shot from 21 ft,,105-109,,
2:52.0,,,105-109,,Defensive rebound by P. George
2:46.0,,,105-109,,Oklahoma City full timeout
2:39.0,,,105-109,,R. Westbrook misses 2-pt shot at rim (block by J. Collins)
2:37.0,Defensive rebound by E. Ilyasova,,105-109,,
2:32.0,K. Bazemore misses 2-pt shot from 1 ft,,105-109,,
2:30.0,Offensive rebound by J. Collins,,105-109,,
2:30.0,J. Collins makes 2-pt shot at rim,2,107-109,,
2:12.0,,,107-109,,P. George misses 2-pt shot from 1 ft
2:12.0,,,107-109,,Offensive rebound by S. Adams
1:52.0,,,107-111,2,R. Westbrook makes 2-pt shot from 17 ft
1:31.0,K. Bazemore makes 3-pt shot from 25 ft,3,110-111,,
1:15.0,,,110-114,3,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook)
1:05.0,J. Collins makes 2-pt shot at rim (assist by K. Bazemore),2,112-114,,
0:44.0,,,112-114,,C. Anthony misses 2-pt shot from 8 ft
0:43.0,,,112-114,,Offensive rebound by S. Adams
0:43.0,,,112-116,2,S. Adams makes 2-pt shot at rim
0:43.0,Atlanta full timeout,,112-116,,
0:43.0,,,112-116,,A. Roberson enters the game for J. Huestis
0:39.0,E. Ilyasova makes 3-pt shot from 22 ft (assist by M. Delaney),3,115-116,,
0:15.0,,,115-116,,Shooting foul by K. Bazemore (drawn by P. George)
0:15.0,,,115-116,,P. George misses free throw 1 of 2
0:15.0,,,115-116,,Offensive rebound by Team
0:15.0,,,115-117,1,P. George makes free throw 2 of 2
0:15.0,Atlanta full timeout,,115-117,,
0:11.0,M. Belinelli misses 2-pt shot from 21 ft,,115-117,,
0:11.0,Offensive rebound by E. Ilyasova,,115-117,,
0:11.0,Shooting foul by C. Anthony (drawn by E. Ilyasova),,115-117,,
0:11.0,E. Ilyasova makes free throw 1 of 2,1,116-117,,
0:11.0,T. Waller-Prince enters the game for M. Belinelli,,116-117,,
0:11.0,E. Ilyasova makes free throw 2 of 2,1,117-117,,
0:11.0,,,117-117,,Oklahoma City full timeout
0:11.0,,,117-117,,A. Abrines enters the game for A. Roberson
0:02.0,,,117-120,3,R. Westbrook makes 3-pt shot from 26 ft
0:00.0,J. Collins misses 3-pt shot from 55 ft,,117-120,,
0:00.0,Offensive rebound by Team,,117-120,,
