time,Orlando,pts.away,score,pts.home,New Orleans
2:49.0,,,111-94,,Defensive rebound by J. Holiday
2:40.0,Personal foul by T. Ross (drawn by J. Holiday),,111-94,,
2:40.0,,,111-95,1,J. Holiday makes free throw 1 of 2
2:40.0,,,111-95,,C. Diallo enters the game for D. Cousins
2:40.0,,,111-95,,D. Cunningham enters the game for J. Nelson
2:40.0,,,111-95,,I. Clark enters the game for A. Davis
2:40.0,,,111-95,,J. Smith enters the game for E. Moore
2:40.0,,,111-95,,J. Holiday misses free throw 2 of 2
2:36.0,Defensive rebound by M. Speights,,111-95,,
2:23.0,J. Simmons misses 3-pt shot from 22 ft,,111-95,,
2:17.0,,,111-95,,Defensive rebound by I. Clark
2:04.0,,,111-95,,C. Diallo misses 2-pt shot from 12 ft
1:53.0,,,111-95,,Offensive rebound by D. Cunningham
1:53.0,,,111-97,2,D. Cunningham makes 2-pt shot at rim
1:42.0,J. Simmons makes 2-pt shot from 1 ft (assist by M. Speights),2,113-97,,
1:30.0,,,113-97,,I. Clark misses 2-pt shot from 11 ft
1:24.0,,,113-97,,Offensive rebound by C. Diallo
1:21.0,,,113-99,2,C. Diallo makes 2-pt shot at rim (assist by I. Clark)
1:05.0,,,113-99,,Personal foul by J. Smith (drawn by E. Fournier)
1:05.0,E. Fournier makes free throw 2 of 2,1,114-99,,
1:05.0,E. Fournier makes free throw 1 of 2,1,115-99,,
1:05.0,,,115-99,,D. Miller enters the game for J. Holiday
1:05.0,S. Mack enters the game for T. Ross,,115-99,,
0:45.0,,,115-99,,D. Cunningham misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by J. Simmons,,115-99,,
0:45.0,Orlando full timeout,,115-99,,
0:45.0,J. Isaac enters the game for J. Simmons,,115-99,,
0:33.0,Turnover by Team (shot clock),,115-99,,
0:32.0,J. Isaac misses 2-pt shot from 20 ft,,115-99,,
0:32.0,Offensive rebound by Team,,115-99,,
0:25.0,,,115-99,,D. Miller misses 3-pt shot from 25 ft
0:21.0,,,115-99,,Offensive rebound by C. Diallo
0:18.0,,,115-99,,C. Diallo misses 2-pt shot from 12 ft
0:18.0,Defensive rebound by J. Isaac,,115-99,,
